Cluster ID,Link Score,source file,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
198,0.6744845,0,national australia bank limited,"docklands,vic,australia",australia,,,, 1982," 32,741",ross maxwell mcewan bbs cbe,81030000000,,financials,banks,,,,,,,,,
231,0.67448443,0,hca healthcare inc,"nashville,tn,unitedstates",united states,,,, 1968," 204,000",samuel n hazen,82600000000,,healthcare,medical care facilities,,,,,,,,,
276,0.6744843,0,air liquide sa,"paris,france",france,,,,," 66,400",benoit potier,83240000000,,basic materials,chemicals,,,,,,,,,
501,0.67448384,0,shopify inc,"ottawa,on,canada",canada,,,, 2006," 10,000",tobias la14tke,83800000000,,technology,softwareapplication,,,,,,,,,
763,0.6744829,0,cigna corporation,"bloomfield,ct,unitedstates",united states,,,, 1982," 72,226",david michael cordani,84670000000,,healthcare,healthcare plans,,,,,,,,,
229,0.67448443,0,mitsubishi ufj financial group inc,"tokyo,japan",japan,,,," october 1, 2005"," 132,700",hironori kamezawa,85030000000,,financials,banks,,,,,,,,,
161,0.67448455,0,micron technology inc,"boise,id,unitedstates",united states,,,," october 5, 1978"," 43,000",sanjay mehrotra,86490000000,,technology,semiconductors,,,,,,,,,
77,0.6744847,0,marsh & mclennan companies inc,"newyork,ny,unitedstates",united states,,,, 1905," 83,000",daniel s glaser,87160000000,,financials,insurance brokers,,,,,,,,,
378,0.6744841,0,cme group inc,"chicago,il,unitedstates",united states,,,, 1848," 3,480",terrence a duffy,87170000000,,financials,financial data & stock exchanges,,,,,,,,,
440,0.67448395,0,glencore plc,"baar,switzerland",switzerland,,,, 1974," 81,284",gary nagle,87310000000,,basic materials,other industrial metals & mining,,,,,,,,,
75,0.6744847,0,brookfield asset management inc,"toronto,on,canada",canada,,,, 1899," 150,000",james bruce flatt,87460000000,,financials,asset management,,,,,,,,,
845,0.6744767,0,the blackstone group inc,"newyork,ny,unitedstates",united states,,,, 1985," 3,795",stephen allen schwarzman ba mba,87640000000,,financials,asset management,,,,,,,,,
902,0.6744711,0,bank of nova scotia,"halifax,ns,canada",canada,,,," march 30, 1832"," 89,782",brian johnston porter amp bcom,87760000000,,financials,banks,,,,,,,,,
575,0.67448366,0,duke energy corporation,"charlotte,nc,unitedstates",united states,,,, 1904," 27,605",lynn j good,88760000000,,utilities,utilitiesregulated electric,,,,,,,,,
813,0.67448205,0,3m company,"st.paul,mn,unitedstates",united states,,,," june 13, 1902"," 95,000",michael f roman,88770000000,,industrials,specialty industrial machinery,,,,,,,,,
794,0.6744825,0,csl limited,"parkville,vic,australia",australia,,,, 1916," 25,000",paul r perreault ba,89690000000,,healthcare,biotechnology,,,,,,,,,
573,0.67448366,0,zoetis inc,"parsippany,nj,unitedstates",united states,,,, 1952 ," 12,100",kristin c peck,89820000000,,healthcare,drug manufacturersspecialty & generic,,,,,,,,,
,,0,vulcan international corp,"wilmington,de,unitedstates",united states,,,,, 68,,90340000000,,basic materials,chemicals,,,,,,,,,
954,0.67446214,0,jdcom inc,"beijing,china",china,,,, 6 june 2009," 310,000",qiangdong liu,90460000000,,consumer discretionary,internet retail,,,,,,,,,
711,0.6744831,0,mondelez international inc,"chicago,il,unitedstates",united states,,,," december 10, 1923"," 79,000",dirk van de put,90670000000,,consumer staples,confectioners,,,,,,,,,
836,0.6744776,0,merck kommanditgesellschaft auf aktien,"darmstadt,germany",germany,,,,," 60,334",belen garijo lopez md,90740000000,,healthcare,drug manufacturersspecialty & generic,,,,,,,,,
151,0.67448455,0,deutsche telekom ag,"bonn,germany",germany,,,,," 216,528",timotheus hottges,93010000000,,communication services,telecom services,,,,,,,,,
118,0.6744846,0,schneider electric se,"rueil-malmaison,france",france,,,,," 166,025",jean-pascal tricoire,94340000000,,industrials,specialty industrial machinery,,,,,,,,,
435,0.67448395,0,enbridge inc,"calgary,ab,canada",canada,,,," april 30, 1949 as interprovincial pipe line company"," 10,900",al monaco,94940000000,,energy,oil & gas midstream,,,,,,,,,
147,0.67448455,0,canadian national railway company,"montreal,qc,canada",canada,,,, 6 june 1919," 22,604",tracy a robinson,94960000000,,industrials,railroads,,,,,,,,,
830,0.67447895,0,booking holdings inc,"norwalk,ct,unitedstates",united states,,,, 1996," 20,097",glenn d fogel,95020000000,,consumer discretionary,travel services,,,,,,,,,
