name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
arcosa,,usa,,,,,,2800000000.0,58.0,,,,
pacwest bancorp,,usa,,,,,,2820000000.0,23.0,,,,
pacific biosciences,,usa,,,,,,2810000000.0,12.0,,,,
nternational bancshares corp,,usa,,,,,,2810000000.0,45.0,,,,
altarea,,france,,,,,,2820000000.0,139.0,real-estate ,,,
corvel corporation,,usa,,,,,,2820000000.0,163.0,healthcare ,,,
allreal holding,,switzerland,,,,,,2820000000.0,170.0,real-estate ,,,
computacenter,,united-kingdom,,,,,,2820000000.0,24.0,professional-services it-services ,,,
park hotels & resorts,,usa,,,,,,2830000000.0,12.0,,,,
vector limited,,new-zealand,,,,,,2830000000.0,2.0,electricity oil-gas utility-companies energy ,,,
group 1 automotive,,usa,,,,,,2830000000.0,194.0,,,,
korn ferry,,usa,,,,,,2830000000.0,53.0,professional-services ,,,
easterly government properties,,usa,,,,,,2830000000.0,16.0,,,,
macerich,,usa,,,,,,2840000000.0,12.0,reit real-estate investment ,,,
torrent power,,india,,,,,,2830000000.0,5.0,utility-companies energy electricity ,,,
site centers,,usa,,,,,,2850000000.0,13.0,real-estate investment reit ,,,
rumble,,usa,,,,,,2850000000.0,10.0,internet tech ,,,
efg international,,switzerland,,,,,,2840000000.0,9.0,banks financial-services ,,,
rush enterprises,,usa,,,,,,2840000000.0,51.0,retail ,,,
elf cosmetics,,usa,,,,,,2850000000.0,53.0,cosmetics ,,,
jet2,,united-kingdom,,,,,,2840000000.0,13.0,airlines travel transportation ,,,
crestwood equity partners,,usa,,,,,,2820000000.0,27.0,energy oil-gas ,,,
doosan bobcat,,south-korea,,,,,,2850000000.0,28.0,specialty-vehicles manufacturing ,,,
giant network group,,china,,,,,,2850000000.0,1.0,video-games entertainment ,,,
hanesbrands,,usa,,,,,,2860000000.0,8.0,,,,
vidrala,,spain,,,,,,2860000000.0,94.0,manufacturing ,,,
bank jago,,indonesia,,,,,,2850000000.0,0.0,banks financial-services ,,,
jinko solar,,china,,,,,,2850000000.0,57.0,renewable-energy electricity energy manufacturing ,,,
focus financial partners,,usa,,,,,,2860000000.0,43.0,,,,
amedisys,,usa,,,,,,2850000000.0,87.0,healthcare ,,,
blueprint medicines,,usa,,,,,,2870000000.0,48.0,,,,
allied properties reit,,canada,,,,,,2870000000.0,22.0,real-estate investment reit ,,,
ct reit,,canada,,,,,,2890000000.0,12.0,real-estate investment reit ,,,
nordstrom,,usa,,,,,,2890000000.0,18.0,luxury-goods retail ,,,
liberty energy,,usa,,,,,,2890000000.0,15.0,oil-gas oil-gas-equipment-services energy ,,,
gland pharma,,india,,,,,,2880000000.0,17.0,pharmaceuticals biotech ,,,
werner enterprises,,usa,,,,,,2880000000.0,45.0,,,,
simmons first national,,usa,,,,,,2890000000.0,22.0,,,,
sulzer,,switzerland,,,,,,2890000000.0,85.0,engineering manufacturing ,,,
vodafone idea,,india,,,,,,2880000000.0,0.0,telecommunication ,,,
corporacion financiera alba,,spain,,,,,,2870000000.0,48.0,asset-management investment ,,,
flywire,,usa,,,,,,2870000000.0,26.0,financial-services tech ,,,
grupo aval,,,,,,,,2900000000.0,2.0,,,,
grocery outlet,,usa,,,,,,2910000000.0,29.0,,,,
thermax,,india,,,,,,2900000000.0,24.0,engineering ,,,
atlas air worldwide holdings,,usa,,,,,,2880000000.0,101.0,airlines travel transportation ,,,
kyndryl,,usa,,,,,,2880000000.0,12.0,it-services ,,,
first capital reit,,canada,,,,,,2930000000.0,13.0,real-estate investment reit ,,,
acerinox,,spain,,,,,,2910000000.0,11.0,steel-producers steel-industry ,,,
timken india,,india,,,,,,2910000000.0,38.0,,,,
kulicke and soffa industries,,singapore,,,,,,2920000000.0,51.0,semiconductors tech tech-hardware ,,,
certara,,usa,,,,,,2920000000.0,18.0,software biotech tech ,,,
polymetal,,,,,,,,2930000000.0,6.0,mining gold-mining silver-mining ,,,
j&j snack foods,,usa,,,,,,2920000000.0,152.0,food ,,,
american eagle outfitters,,usa,,,,,,2930000000.0,15.0,,,,
pennon group,,united-kingdom,,,,,,2930000000.0,11.0,utility-companies ,,,
westports,,malaysia,,,,,,2930000000.0,0.0,ports ,,,
olink holding,,sweden,,,,,,2930000000.0,24.0,pharmaceuticals biotech ,,,
shapir civil and marine engineering,,israel,,,,,,2920000000.0,8.0,,,,
hensoldt,,germany,,,,,,2910000000.0,27.0,defense-contractors ,,,
harmonic drive systems,,japan,,,,,,2920000000.0,30.0,,,,
wsfs financial,,usa,,,,,,2930000000.0,47.0,financial-services banks ,,,
coforge,,india,,,,,,2940000000.0,48.0,software professional-services ,,,
pacific premier bancorp,,usa,,,,,,2950000000.0,31.0,,,,
adapthealth,,usa,,,,,,2950000000.0,21.0,,,,
o-i glass,,usa,,,,,,2930000000.0,18.0,,,,
rubis,,france,,,,,,2950000000.0,28.0,,,,
petco,,usa,,,,,,2940000000.0,11.0,retail ,,,
installed building products,,usa,,,,,,2940000000.0,102.0,,,,
curaleaf,,usa,,,,,,2930000000.0,4.0,cannabis ,,,
stepstone group,,usa,,,,,,2950000000.0,29.0,financial-services investment ,,,
sumitomo chemical india,,india,,,,,,2950000000.0,5.0,chemicals ,,,
immunocore,,united-kingdom,,,,,,2950000000.0,61.0,biotech pharmaceuticals ,,,
dycom industries,,usa,,,,,,2950000000.0,99.0,engineering professional-services ,,,
cvent,,usa,,,,,,2930000000.0,6.0,software tech ,,,
brink's,,usa,,,,,,2950000000.0,63.0,,,,
harmony biosciences,,usa,,,,,,2950000000.0,49.0,pharmaceuticals biotech ,,,
bancfirst,,usa,,,,,,2960000000.0,90.0,banks financial-services ,,,
viva energy,,australia,,,,,,2950000000.0,1.0,oil-gas energy ,,,
prospect capital,,usa,,,,,,2960000000.0,7.0,investment ,,,
maxlinear,,usa,,,,,,2960000000.0,37.0,,,,
sma solar technology,,germany,,,,,,2980000000.0,85.0,,,,
highpeak energy,,usa,,,,,,2960000000.0,26.0,oil-gas energy ,,,
prothena,,ireland,,,,,,2950000000.0,57.0,pharmaceuticals biotech ,,,
siegfried holding,,switzerland,,,,,,2970000000.0,700.0,pharmaceuticals biotech ,,,
kinaxis,,canada,,,,,,2980000000.0,107.0,software tech ,,,
intercorp financial services,,,,,,,,2970000000.0,25.0,financial-services insurance ,,,
shangri-la,,hong-kong,,,,,,2980000000.0,0.0,hotels travel ,,,
evo payments,,usa,,,,,,2980000000.0,33.0,financial-services tech ,,,
suntec reit,,singapore,,,,,,2970000000.0,1.0,real-estate investment reit ,,,
inmode,,israel,,,,,,2960000000.0,35.0,,,,
conmed,,usa,,,,,,2960000000.0,97.0,medical-devices ,,,
growthpoint properties,,south-africa,,,,,,2970000000.0,0.0,real-estate investment reit ,,,
