name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
texas instruments,,usa,,,,,"31,000",richard k templeton,,,,,,,,,,,,,
union pacific corporation,,usa,,,,,"32,124",lance m fritz,,,,,,,,,,,,,
bhp group,,australia,,,,,"80,000",mike henry,,,,,,,,,,,,,
sap se,,germany,,,,,"107,415",christian klein,,,,,,,,,,,,,
agricultural bank of china,,china,,,,,"459,000",,,,,,,,,,,,,,
intuit,,usa,,,,,"13,500",sasan k goodarzi,,,,,,,,,,,,,
meituan dianping,,china,,,,,"58,390",wang xing,,,,,,,,,,,,,
royal bank of canada,,canada,,,,,"85,301",david i mckay,,,,,,,,,,,,,
advanced micro devices amd,,usa,,,,,"15,500",lisa su,,,,,,,,,,,,,
sony corporation,,japan,,,,,"109,700",kenichiro yoshida,,,,,,,,,,,,,
philip morris international,,usa,,,,,"69,900",jacek olczak,,,,,,,,,,,,,
ping an insurance group company of china,,china,,,,,"362,000",ma mingzhe,,,,,,,,,,,,,
honeywell international,,usa,,,,,"99,000",darius adamczyk,,,,,,,,,,,,,
toronto-dominion bank,,canada,,,,,"89,464",bharat masrani,,,,,,,,,,,,,
petrochina company,,china,,,,,"476,223",wang dongjin,,,,,,,,,,,,,
christian dior,,france,,,,,"128,339",pietro beccari,,,,,,,,,,,,,
shopify,,canada,,,,,"7,000",tobias lutke,,,,,,,,,,,,,
keyence corporation,,japan,,,,,"8,380",yu nakata,,,,,,,,,,,,,
medtronic,,ireland,,,,,"90,000",geoffrey s martha,,,,,,,,,,,,,
bristol-myers squibb company,,usa,,,,,"32,200",giovanni caforio,,,,,,,,,,,,,
siemens,,germany,,,,,"303,000",roland busch,,,,,,,,,,,,,
totalenergies se,,france,,,,,"105,476",patrick pouyanne,,,,,,,,,,,,,
cvs health corporation,,usa,,,,,"295,000",karen s lynch,,,,,,,,,,,,,
unilever group,,netherlands,,,,,"149,000",alan jope,,,,,,,,,,,,,
t-mobile us,,usa,,,,,"75,000",mike sievert,,,,,,,,,,,,,
bank of china,,china,,,,,"306,322",gao yingxin,,,,,,,,,,,,,
blackrock,,usa,,,,,"16,500",larry fink,,,,,,,,,,,,,
schwarz group,,germany,,,,,"500,000",,,,,,,,,,,,,,
raytheon technologies corporation,,usa,,,,,"174,000",gregory hayes,,,,,,,,,,,,,
american express company,,usa,,,,,"64,000",stephen squeri,,,,,,,,,,,,,
volkswagen,,germany,,,,,"662,575",herbert diess,,,,,,,,,,,,,
