name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
getinge group,gothenburg,,,,1904,,,,,medical equipment,,,,,,
goinge mekaniska,hassleholm,,,,1946,,,,,heavy construction,,,,,,
green cargo,solna,,,,2001,,,,,delivery services,,,,,,
grimaldi industri,stockholm,,,,1970,,,,,-,,,,,,
gunnebo group,gothenburg,,,,1889,,,,,business support services,,,,,,
h&m,stockholm,,,,1947,,,,,apparel retailers,,,,,,
haglofs,torsang,,,,1914,,,,,recreational products,,,,,,
hagstrom,alvdalen,,,,1925,,,,,recreational products,,,,,,
haldex,landskrona,,,,1887,,,,,auto parts,,,,,,
hallberg-rassy,ellos,,,,1943,,,,,recreational products,,,,,,
handelsbanken,stockholm,,,,1871,,,,,banks,,,,,,
hasselblad,gothenburg,,,,1841,,,,,recreational products,,,,,,
hastens,koping,,,,1852,,,,,specialty retailers,,,,,,
hestra,hestra,,,,1936,,,,,clothing & accessories,,,,,,
hexagon ab,stockholm,,,,1992,,,,,business support services,,,,,,
hindustrial networks,halmstad,,,,1988,,,,,fixed line telecommunications,,,,,,
hoganas ab,hoganas,,,,1797,,,,,iron & steel,,,,,,
holmen,stockholm,,,,1875,,,,,paper,,,,,,
husaberg,mattighofen,,,,1988,,,,,automobiles,,,,,,
husqvarna group,stockholm,,,,1689,,,,,industrial suppliers,,,,,,
hydrauliska industri ab,hudiksvall,,,,1944,,,,,commercial vehicles & trucks,,,,,,
iar systems,uppsala,,,,1983,,,,,software,,,,,,
ica gruppen,stockholm,,,,1938,,,,,broadline retailers,,,,,,
ifs ab,linkoping,,,,1983,,,,,software,,,,,,
ikano bank,malmo,,,,1995,,,,,banks,,,,,,
imint image intelligence ab,uppsala,,,,2007,,,,,software,,,,,,
infranord,solna,,,,2010,,,,,railroads,,,,,,
ingate systems,stockholm,,,,2001,,,,,software,,,,,,
intertex,stockholm,,,,2001,,,,,computer hardware,,,,,,
investment ab latour,gothenburg,,,,1984,,,,,investment services,,,,,,
investment ab oresund,stockholm,,,,1961,,,,,investment services,,,,,,
investor ab,stockholm,,,,1916,,,,,investment services,,,,,,
isadora,malmo,,,,1983,,,,,personal products,,,,,,
izettle,stockholm,,,,2011,,,,,software,,,,,,
