name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
bank of ireland,ballsbridge,,,5 april 1783  239 years ago  1783-04-05 ,,,,,,,,,
bank of montreal,,,,"montreal bank  23 june 1817  205 years ago  1817-06-23   montreal, lower canada bank of montreal  22 july 1822  200 years ago  1822-07-22  ",,,,,,,,,
barclays,,,,"17 november 1690  332 years ago  1690-11-17  in the city of london, kingdom of england",,,,,,,,,
barilla company,,,,1877  145 years ago  1877 ,,,,,,,,,
barnes & noble,new york city,,,"1886  136 years ago  1886   as arthur hinds & company  in new york city, u.s.",,,,,,,,,
barrick gold,new york city,,,1983  39 years ago  1983 ,,,,,,,,,
basf,ludwigshafen,,,"6 april 1865  157 years ago  6 april 1865   as badische anilin- und sodafabrik   mannheim, baden",,,,,,,,,
baskin-robbins,,,,"1945  77 years ago  1945   as burton's ice cream shop  glendale, california, u.s.",,,,,,,,,
bata corporation,lausanne,,,21 september 1894  128 years ago  1894-09-21  in austria-hungary  now the czech republic ,,,,,,,,,
bath & body works,columbus,,,"1990  32 years ago  1990  new albany, ohio, u.s.",,,,,,,,,
baidu,columbus,,,"january 1, 2000  22 years ago  2000-01-01 ",,,,,,,,,
bayer,leverkusen,,,1 august 1863  159 years ago  1863-08-01 [1],,,,,,,,,
bd company,leverkusen,,,"east rutherford, new jersey  1897  1897  ",,,,,,,,,
beko,istanbul,,,"1955  67 years ago  1955  in istanbul, turkey",,,,,,,,,
bertelsmann,istanbul,,,1 july 1835  187 years ago  1835-07-01 [1],,,,,,,,,
benetton group,istanbul,,,"1965  57 years ago  1965  in ponzano veneto, italy",,,,,,,,,
best buy,"richfield, minnesota",,,"august 22, 1966  56 years ago  1966-08-22  in st. paul, minnesota, united states",,,,,,,,,
bharti airtel,nelson mandela road,,,7 july 1995  27 years ago  1995-07-07 [1],,,,,,,,,
bharti enterprises,nelson mandela road,,,1976  46 years ago  1976 ,,,,,,,,,
