name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
lvmh,,paris,france,,,,"148,343",bernard arnault,325.15 billion,"france, consumerdiscretionary, luxurygoods, franceconsumerdiscretionary, franceluxurygoods",,,,,,,,,,,
samsung,,suwon-si,southkorea,,,,,jong-hee han,461.587 trillion,"southkorea, technology, consumerelectronics, southkoreatechnology, southkoreaconsumerelectronics",,,,,,,,,,,
procter & gamble,,cincinnati,oh,,,"october 31, 1837","101,000",jon r moeller,384600000000,"unitedstates, consumerstaples, household&personalproducts, unitedstatesconsumerstaples, unitedstateshousehold&personalproducts",,,,,,,,,,,
jpmorgan,,newyork,ny,,,"december 1, 2000","271,025",james dimon,410840000000,"unitedstates, financials, banks, unitedstatesfinancials, unitedstatesbanks",,,,,,,,,,,
walmart,,bentonville,ar,,,"july 2, 1962","2,300,000",c douglas mcmillon,429050000000,"unitedstates, consumerstaples, discountstores, unitedstatesconsumerstaples, unitedstatesdiscountstores",,,,,,,,,,,
tencent,,shenzhen,china,,,,"112,771",huateng pony ma,hk$3.456 trillion,"china, communicationservices, internetcontent&information, chinacommunicationservices, chinainternetcontent&information",,,,,,,,,,,
johnson & johnson,,newbrunswick,nj,,,january 1886,"141,700",joaquin duato,475930000000,"unitedstates, healthcare, drugmanufacturersgeneral, unitedstateshealthcare, unitedstatesdrugmanufacturersgeneral",,,,,,,,,,,
visa,,sanfrancisco,ca,,,"september 18, 1958","21,500",alfred francis kelly jr,486770000000,"unitedstates, financials, creditservices, unitedstatesfinancials, unitedstatescreditservices",,,,,,,,,,,
unitedhealth group,,minnetonka,mn,,,1977,"350,000",sir andrew philip witty,488520000000,"unitedstates, healthcare, healthcareplans, unitedstateshealthcare, unitedstateshealthcareplans",,,,,,,,,,,
tsmc,,hsinchu,taiwan,,,"industrial technology research institute, hsinchu, taiwan.1987","54,193",c c wei,tw$15.140 trillion,"taiwan, technology, semiconductors, taiwantechnology, taiwansemiconductors",,,,,,,,,,,
meta,,menlopark,ca,,,"january 4, 2004","71,970",mark elliot zuckerberg,617500000000,"unitedstates, communicationservices, internetcontent&information, unitedstatescommunicationservices, unitedstatesinternetcontent&information",,,,,,,,,,,
nvidia,,santaclara,ca,,,"april 5, 1993","22,473",jen-hsun huang,660380000000,"unitedstates, technology, semiconductors, unitedstatestechnology, unitedstatessemiconductors",,,,,,,,,,,
berkshire hathaway,,omaha,ne,,,1839,"372,000",warren e buffett,798470000000,"unitedstates, financials, financialconglomerates, unitedstatesfinancials, unitedstatesfinancialconglomerates",,,,,,,,,,,
tesla,,paloalto,ca,,,"july 1, 2003","99,290",elon r musk,1016000000000,"unitedstates, consumerdiscretionary, automanufacturers, unitedstatesconsumerdiscretionary, unitedstatesautomanufacturers",,,,,,,,,,,
amazon,,seattle,wa,,,"july 5, 1994","1,608,000",andrew r jassy,1642000000000,"unitedstates, consumerdiscretionary, internetretail, unitedstatesconsumerdiscretionary, unitedstatesinternetretail",,,,,,,,,,,
alphabet,,mountainview,ca,,,"october 2, 2015","156,500",sundar pichai,1825000000000,"unitedstates, communicationservices, internetcontent&information, unitedstatescommunicationservices, unitedstatesinternetcontent&information",,,,,,,,,,,
aramco,,dhahran,saudiarabia,,,,,amin h nasser,sr8.615 trillion,"saudiarabia, energy, oil&gasintegrated, saudiarabiaenergy, saudiarabiaoil&gasintegrated",,,,,,,,,,,
microsoft,,redmond,wa,,,"april 4, 1975","181,000",satya nadella,2328000000000,"unitedstates, technology, softwareinfrastructure, unitedstatestechnology, unitedstatessoftwareinfrastructure",,,,,,,,,,,
medtronic,,dublin,ireland,,,2001 ,"90,000",geoffrey straub martha,151060000000,"ireland, healthcare, medicaldevices, irelandhealthcare, irelandmedicaldevices",,,,,,,,,,,
