name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
endeavour mining corporation,,united kingdom,,,,,,6350000000,,,basic materials,,
taylor wimpey plc,,united kingdom,,,,,,6250000000,,,consumer discretionary,,
hargreaves lansdown plc,,united kingdom,,,,,,6250000000,,,financials,,
the unite group plc,,united kingdom,,,,,,6120000000,,,real estate,,
janus henderson group plc,,united kingdom,,,,,,6100000000,,,financials,,
the berkeley group holdings plc,,united kingdom,,,,,,6070000000,,,consumer discretionary,,
f&c investment trust plc,,united kingdom,,,,,,6060000000,,,financials,,
pepco group nv,,united kingdom,,,,,,6030000000,,,consumer staples,,
howden joinery group plc,,united kingdom,,,,,,5980000000,,,consumer discretionary,,
nvent electric plc,,united kingdom,,,,,,5970000000,,,industrials,,
investec plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,financials,,
pennon group plc,,united kingdom,,,,,,5910000000,,,utilities,,
ds smith plc,,united kingdom,,,,,,5780000000,,,consumer discretionary,,
the weir group plc,,united kingdom,,,,,,5740000000,,,industrials,,
dechra pharmaceuticals plc,,united kingdom,,,,,,5720000000,,,healthcare,,
sareum holdings plc,,united kingdom,,,,,,5600000000,,,healthcare,,
convatec group plc,,united kingdom,,,,,,5490000000,,,healthcare,,
tritax big box reit plc,,united kingdom,,,,,,5480000000,,,real estate,,
farfetch limited,,united kingdom,,,,,,5290000000,,,consumer discretionary,,
rit capital partners,,united kingdom,,,,,,5280000000,,,financials,,
mimecast limited,,united kingdom,,,,,,5120000000,,,technology,,
international game technology plc,,united kingdom,,,,,,5060000000,,,consumer discretionary,,
direct line insurance group plc,,united kingdom,,,,,,4920000000,,,financials,,
derwent london plc,,united kingdom,,,,,,4820000000,,,real estate,,
imi plc,,united kingdom,,,,,,4790000000,,,industrials,,
johnson matthey plc,,united kingdom,,,,,,4790000000,,,basic materials,,
hicl infrastructure plc,,united kingdom,,,,,,4590000000,,,financials,,
wizz air holdings plc,,united kingdom,,,,,,4520000000,,,industrials,,
atotech ltd,,united kingdom,,,,,,4480000000,,,technology,,
computacenter plc,,united kingdom,,,,,,4440000000,,,technology,,
frasers group plc,,united kingdom,,,,,,4330000000,,,consumer discretionary,,
man group plc,,united kingdom,,,,,,4330000000,,,financials,,
royal mail plc,,united kingdom,,,,,,4310000000,,,industrials,,
softcat plc,,united kingdom,,,,,,4310000000,,,technology,,
itv plc,,united kingdom,,,,,,4300000000,,,communication services,,
diploma plc,,united kingdom,,,,,,4250000000,,,industrials,,
rotork plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,industrials,,
abcam plc,,united kingdom,,,,,,4210000000,,,healthcare,,
future plc,,united kingdom,,,,,,4200000000,,,communication services,,
darktrace plc,,united kingdom,,,,,,4130000000,,,technology,,
3i infrastructure plc,,united kingdom,,,,,,4110000000,,,financials,,
drax group plc,,united kingdom,,,,,,4110000000,,,utilities,,
ig group holdings plc,,united kingdom,,,,,,4040000000,,,financials,,
polar capital technology trust,,united kingdom,,,,,,4040000000,,,financials,,
nomad foods limited,,united kingdom,,,,,,4040000000,,,consumer staples,,
tate & lyle plc,,united kingdom,,,,,,4010000000,,,consumer staples,,
livanova plc,,united kingdom,,,,,,3990000000,,,healthcare,,
william hill plc,,united kingdom,,,,,,"(march 13, 2021)",,,consumer discretionary,,
bellway plc,,united kingdom,,,,,,3950000000,,,consumer discretionary,,
alliance trust plc,,united kingdom,,,,,,3930000000,,,financials,,
greencoat uk wind plc,,united kingdom,,,,,,3920000000,,,financials,,
atlantica sustainable infrastructure plc,,united kingdom,,,,,,3870000000,,,utilities,,
safestore holdings plc,,united kingdom,,,,,,3760000000,,,real estate,,
homeserve plc,,united kingdom,,,,,,3720000000,,,industrials,,
the renewables infrastructure group limited,,united kingdom,,,,,,3710000000,,,financials,,
international public partnerships ld,,united kingdom,,,,,,3700000000,,,financials,,
renishaw plc,,united kingdom,,,,,,3660000000,,,technology,,
travis perkins plc,,united kingdom,,,,,,3630000000,,,industrials,,
technipfmc plc,,united kingdom,,,,,,3580000000,,,energy,,
watches of switzerland group plc,,united kingdom,,,,,,3570000000,,,consumer discretionary,,
big yellow group plc,,united kingdom,,,,,,3570000000,,,real estate,,
beazley plc,,united kingdom,,,,,,3450000000,,,financials,,
smithson investment trust plc,,united kingdom,,,,,,3430000000,,,financials,,
monks investment trust,,united kingdom,,,,,,3420000000,,,financials,,
inchcape plc,,united kingdom,,,,,,3410000000,,,consumer discretionary,,
jet2 plc,,united kingdom,,,,,,3350000000,,,consumer discretionary,,
osb group plc,,united kingdom,,,,,,3350000000,,,financials,,
greggs plc,,united kingdom,,,,,,3330000000,,,consumer staples,,
easyjet plc,,united kingdom,,,,,,3330000000,,,industrials,,
virgin money uk plc,,united kingdom,,,,,,3310000000,,,financials,,
londonmetric property plc,,united kingdom,,,,,,3310000000,,,real estate,,
martens plc,,united kingdom,,,,,,3170000000,,,consumer discretionary,,
quilter plc,,united kingdom,,,,,,3160000000,,,financials,,
games workshop group plc,,united kingdom,,,,,,3140000000,,,consumer discretionary,,
shaftesbury plc,,united kingdom,,,,,,3100000000,,,real estate,,
ultra electronics holdings plc,,united kingdom,,,,,,3100000000,,,industrials,,
britvic plc,,united kingdom,,,,,,2930000000,,,consumer staples,,
dunelm group plc,,united kingdom,,,,,,2910000000,,,consumer discretionary,,
energean plc,,united kingdom,,,,,,2830000000,,,energy,,
worldwide healthcare,,united kingdom,,,,,,2770000000,,,financials,,
fevertree drinks plc,,united kingdom,,,,,,2770000000,,,consumer staples,,
vistry group plc,,united kingdom,,,,,,2760000000,,,consumer discretionary,,
hays plc,,united kingdom,,,,,,2690000000,,,industrials,,
grainger plc,,united kingdom,,,,,,2680000000,,,real estate,,
itm power plc,,united kingdom,,,,,,2640000000,,,technology,,
primary health properties plc,,united kingdom,,,,,,2610000000,,,real estate,,
witan investment trust plc,,united kingdom,,,,,,2600000000,,,financials,,
caledonia investments plc,,united kingdom,,,,,,2590000000,,,financials,,
pershing square holdings ltd,,united kingdom,,,,,,"(sept. 1, 2018)",,,financials,,
deliveroo plc,,united kingdom,,,,,,2550000000,,,consumer discretionary,,
cranswick plc,,united kingdom,,,,,,2520000000,,,consumer staples,,
great portland estates plc,,united kingdom,,,,,,"(jan. 1, 2022)",,,real estate,,
hgcapital trust plc,,united kingdom,,,,,,2480000000,,,financials,,
zimplats holdings limited,,united kingdom,,,,,,2480000000,,,basic materials,,
wh smith plc,,united kingdom,,,,,,2480000000,,,consumer discretionary,,
finsbury growth & income trust plc,,united kingdom,,,,,,2460000000,,,financials,,
redrow plc,,united kingdom,,,,,,2440000000,,,consumer discretionary,,
playtech plc,,united kingdom,,,,,,2440000000,,,consumer discretionary,,
close brothers group plc,,united kingdom,,,,,,2430000000,,,financials,,
pets at home group plc,,united kingdom,,,,,,2370000000,,,consumer discretionary,,
ssp group plc,,united kingdom,,,,,,2350000000,,,consumer discretionary,,
assura plc,,united kingdom,,,,,,2350000000,,,real estate,,
diversey holdings ltd,,united kingdom,,,,,,2350000000,,,consumer discretionary,,
the city of london investment trust plc,,united kingdom,,,,,,2340000000,,,financials,,
serco group plc,,united kingdom,,,,,,2340000000,,,industrials,,
manchester united plc,,united kingdom,,,,,,2330000000,,,consumer discretionary,,
domino's pizza group plc,,united kingdom,,,,,,2320000000,,,consumer discretionary,,
vivo energy plc,,united kingdom,,,,,,2270000000,,,energy,,
qinetiq group plc,,united kingdom,,,,,,2270000000,,,industrials,,
mercantile investment trust the plc,,united kingdom,,,,,,2260000000,,,financials,,
sequoia economic infrastructure inc ord,,united kingdom,,,,,,2240000000,,,financials,,
balfour beatty plc,,united kingdom,,,,,,2240000000,,,industrials,,
kainos group plc,,united kingdom,,,,,,2220000000,,,technology,,
aggreko plc,,united kingdom,,,,,,"(march 13, 2021)",,,industrials,,
personal assets trust,,united kingdom,,,,,,2180000000,,,financials,,
babcock international group plc,,united kingdom,,,,,,2160000000,,,industrials,,
ashmore group plc,,united kingdom,,,,,,2140000000,,,financials,,
murray international trust plc,,united kingdom,,,,,,2109999999,,,financials,,
pagegroup plc,,united kingdom,,,,,,2109999999,,,industrials,,
harbourvest global private equity limited,,united kingdom,,,,,,"(march 13, 2021)",,,financials,,
gamesys group plc,,united kingdom,,,,,,"(march 13, 2021)",,,consumer discretionary,,
john laing group plc,,united kingdom,,,,,,"(march 13, 2021)",,,industrials,,
dixons carphone plc,,united kingdom,,,,,,"(march 13, 2021)",,,consumer discretionary,,
victrex plc,,united kingdom,,,,,,2060000000,,,basic materials,,
s4 capital plc,,united kingdom,,,,,,2049999999,,,communication services,,
savills plc,,united kingdom,,,,,,2040000000,,,real estate,,
asos plc,,united kingdom,,,,,,2029999999,,,consumer discretionary,,
brewin dolphin holdings plc,,united kingdom,,,,,,2029999999,,,financials,,
calisen plc,,united kingdom,,,,,,"(march 13, 2021)",,,industrials,,
jpmorgan american investment trust plc,,united kingdom,,,,,,1980000000,,,financials,,
burford capital limited,,united kingdom,,,,,,1970000000,,,financials,,
yougov plc,,united kingdom,,,,,,1960000000,,,communication services,,
capital & counties properties plc,,united kingdom,,,,,,1950000000,,,real estate,,
