name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
vulcan international corp,"wilmington,de,unitedstates",united states,,, 68,,,90340000000,,,basic materials,,
jdcom inc,"beijing,china",china,, 6 june 2009," 310,000",qiangdong liu,,90460000000,,,consumer discretionary,,
mondelez international inc,"chicago,il,unitedstates",united states,," december 10, 1923"," 79,000",dirk van de put,,90670000000,,,consumer staples,,
merck kommanditgesellschaft auf aktien,"darmstadt,germany",germany,,," 60,334",belen garijo lopez md,,90740000000,,,healthcare,,
deutsche telekom ag,"bonn,germany",germany,,," 216,528",timotheus hottges,,93010000000,,,communication services,,
schneider electric se,"rueil-malmaison,france",france,,," 166,025",jean-pascal tricoire,,94340000000,,,industrials,,
enbridge inc,"calgary,ab,canada",canada,," april 30, 1949 as interprovincial pipe line company"," 10,900",al monaco,,94940000000,,,energy,,
canadian national railway company,"montreal,qc,canada",canada,, 6 june 1919," 22,604",tracy a robinson,,94960000000,,,industrials,,
booking holdings inc,"norwalk,ct,unitedstates",united states,, 1996," 20,097",glenn d fogel,,95020000000,,,consumer discretionary,,
china shenhua energy company ltd,"beijing,china",china,,," 77,029",,,95340000000,,,energy,,
bp plc,"london,unitedkingdom",united kingdom,, 14 april 1909 as the anglo-persian oil company," 60,000",,,96240000000,,,energy,,
automatic data processing inc,"roseland,nj,unitedstates",united states,, 1949," 56,000",carlos a rodriguez,,96980000000,,,industrials,,
metlife inc,"newyork,ny,unitedstates",united states,," march 24, 1868"," 49,000",michel abbas khalaf,,62690000000,,,financials,,
dassault systemes se,"velizy-villacoublay,france",france,,," 20,496",bernard s charles,,62750000000,,,technology,,
pacificorp,"portland,or,unitedstates",united states,,," 4,800",william j fehrman,,62870000000,,,utilities,,
boston scientific corporation,,united states,, 1979," 41,000",michael f mahoney,,63080000000,,,healthcare,,
fedex corporation,"memphis,tn,unitedstates",united states,," may 5, 1971"," 384,000",frederick w smith,,63250000000,,,industrials,,
shin-etsu chemical co ltd,"tokyo,japan",japan,,," 24,629",,,63430000000,,,basic materials,,
