name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
psioxus therapeutics,,united kingdom,,2006,69,,,,,,,https://www.psioxus.com,
hegen,,singapore,,2014,22,,,,,,,https://www.hegen.com/,
kaleido japan,,japan,,2011,10,,,,,,,https://kaleidojapan.com/,
redpeak advisers,,singapore,,2016,7,,,,,,,https://www.redpeak.sg/,
miss amara,,australia,,2014,36,,,,,,,https://missamara.com.au/,
wadiz,,south korea,,2012,204,,,,,,,https://www.wadiz.kr/,
coda payments,,singapore,,2011,104,,,,,,,https://www.codapayments.com/,
zego,,uk,,2016,224,,,,,,,https://www.zego.com/,
swapfiets,,netherlands,,2014,550,,,,,,,https://www.swapfiets.com,
housekeep,,united kingdom,,2013,25,,,,,,,https://www.housekeep.com,
mikienergy,,japan,,2015,5,,,,,,,https://mikienergy.com/,
closip,,japan,,2016,12,,,,,,,https://www.closip.co.jp/,
coda payments,,singapore,,2011,232,,,,,,,https://www.codapayments.com/,
hyper anna,,australia,,2016,40,,,,,,,https://www.hyperanna.com/,
sun protection apparel,,australia,,2014,12,,,,,,,https://www.solbari.com/,
the future of cooking,,singapore,,2016,10,,,,,,,https://thermomix.com.sg/,
hcl-logistics,,germany,,2017,24,,,,,,,https://www.hcl-logistics.de/,
jobandtalent,,spain,,2009,783,,,,,,,https://www.jobandtalent.com,
landbay partners,,uk,,2014,98,,,,,,,https://www.landbay.co.uk,
crep protect,,united kingdom,,2014,29,,,,,,,https://www.crepprotect.com,
loship,,vietnam,,2017,200,,,,,,,https://loship.vn/,
first circle,,philippines,,2016,108,,,,,,,https://www.firstcircle.ph/,
cloudwave,,australia,,2013,18,,,,,,,https://www.cloudwave.com.au/,
dementia caring,,australia,,2015,219,,,,,,,https://www.dementiacaring.com.au/,
dana brata luhur,,indonesia,,2008,193,,,,,,,http://www.tebe.co.id/,
fabelio,,indonesia,,2015,344,,,,,,,https://fabelio.com/,
popsa,,uk,,2016,34,,,,,,,https://popsa.com/,
chilly's bottles,,uk,,2010,371,,,,,,,https://www.chillysbottles.com,
viajes libratur itravex,,spain,,2007,62,,,,,,,https://itravex.es,
mohan electro casting,,india,,2002,35,,,,,,,https://www.mepl-mmw.com/,
gtog international,,south korea,,2016,25,,,,,,,https://www.goodtogreat.co.kr/,
wave life sciences,,singapore,,2012,301,,,,,,,https://wavelifesciences.com/,
skilllane,,thailand,,2014,44,,,,,,,https://www.skilllane.com/,
unit8,,switzerland,,2017,41,,,,,,,https://unit8.com/,
safe4u,,germany,,2013,9,,,,,,,https://safe4u.de,
darktrace,,united kingdom,,2013,618,,,,,,,https://www.darktrace.com,
oaknorth bank,,united kingdom,,2015,200,,,,,,,https://www.oaknorth.com/,
nkc asia,,japan,,2015,90,,,,,,,https://www.nkc-asia.com/,
themathcompany,,india,,2016,494,,,,,,,https://themathcompany.com/,
selfwealth,,australia,,2012,34,,,,,,,https://www.selfwealth.com.au/,
be fit food,,australia,,2015,25,,,,,,,https://www.befitfood.com.au/,
comma entertainment,,south korea,,2015,10,,,,,,,https://www.comma-entertainment.com/,
tangerine telecom,,australia,,2014,90,,,,,,,https://www.tangerinetelecom.com.au/,
luoto company,,finland,,2016,49,,,,,,,https://www.luotocompany.com/,
journi print,,austria,,2014,29,,,,,,,https://www.journiapp.com/,
bunq,,netherlands,,2014,96,,,,,,,https://www.bunq.com,
nbwm,,netherlands,,2013,30,,,,,,,https://www.nbwm.nl,
wolt enterprises,,finland,,2014,293,,,,,,,https://wolt.com/,
bolt technology,,estonia,,2013,700,,,,,,,https://bolt.eu/,
