name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
united parcel service,,"atlanta, georgia",,,1907,,,,,,97,,,,,
british american tobacco,,"london, united kingdom",,,1902,,,,,,35,,,,,
ubs,,"zurich, switzerland",,,1862,,,,,,35,,,,,
honda motor,,"tokyo, japan",,,1959,,,,,,130,,,,,
mitsubishi,,"tokyo, japan",,,1870,,,,,,146,,,,,
china state construction engineering,,"beijing, china",,,1982,,,,,,205,,,,,
state bank of india,,"mumbai, india",,,1955,,,,,,54,,,,,
commonwealth bank,,"sydney, australia",,,1911,,,,,,21,,,,,
shanghai pudong development,,"shanghai, china",,,1992,,,,,,54,,,,,
raytheon technologies,,"waltham, massachusetts",,,1922,,,,,,64,,,,,
enel,,"rome, italy",,,1962,,,,,,99,,,,,
eni,,"rome, italy",,,1953,,,,,,90,,,,,
capital one,,"mclean, virginia",,,1994,,,,,,32,,,,,
bristol myers squibb,,"new york, new york",,,1933,,,,,,46,,,,,
coca-cola,,"atlanta, georgia",,,1892,,,,,,38,,,,,
oracle,,"redwood shores, california",,,1977,,,,,,41,,,,,
sberbank,,"moscow, russia",,,1841,,,,,,57,,,,,
bank of montreal,,"montreal, canada",,,1817,,,,,,26,,,,,
vale,,"rio de janeiro, brazil",,,1942,,,,,,54,,,,,
edf,,"paris, france",,,1955,,,,,,99,,,,,
thermo fisher scientific,,"waltham, massachusetts",,,1983,,,,,,39,,,,,
credit agricole,,"montrouge, france",,,1894,,,,,,73,,,,,
airbus,,"leiden, netherlands",,,1970,,,,,,61,,,,,
costco wholesale,,"issaquah, washington",,,1983,,,,,,210,,,,,
hon hai precision,,"new taipei, taiwan",,,1974,,,,,,214,,,,,
unilever,,"london, united kingdom",,,1929,,,,,,62,,,,,
charter communications,,"stamford, connecticut",,,1993,,,,,,51,,,,,
sumitomo mitsui financial,,"tokyo, japan",,,2002,,,,,,35,,,,,
conocophillips,,"houston, texas",,,1875,,,,,,46,,,,,
glaxosmithkline,,"london, united kingdom",,,2000,,,,,,46,,,,,
intesa sanpaolo,,"turin, italy",,,2007,,,,,,47,,,,,
manulife,,"toronto, canada",,,1887,,,,,,47,,,,,
us bancorp,,"minneapolis, minnesota",,,1929,,,,,,23,,,,,
basf,,"ludwigshafen am rhein, germany",,,1865,,,,,,92,,,,,
cnooc,,"hong kong, hong kong",,,1999,,,,,,37,,,,,
abbott laboratories,,"chicago, illinois",,,1888,,,,,,44,,,,,
iberdrola,,"bilbao, spain",,,1992,,,,,,46,,,,,
china shenhua energy,,"beijing, china",,,2004,,,,,,52,,,,,
itau unibanco holding,,"sao paulo, brazil",,,1944,,,,,,36,,,,,
caterpillar,,"deerfield, illinois",,,1925,,,,,,51,,,,,
mitsui,,"tokyo, japan",,,1947,,,,,,108,,,,,
itochu,,"tokyo, japan",,,1858,,,,,,108,,,,,
charles schwab,,"san francisco, california",,,1971,,,,,,19,,,,,
truist financial,,"charlotte, north carolina",,,1872,,,,,,23,,,,,
enbridge,,"calgary, canada",,,1949,,,,,,37,,,,,
hitachi,,"tokyo, japan",,,1910,,,,,,91,,,,,
kddi,,"tokyo, japan",,,1984,,,,,,49,,,,,
hyundai motor,,"seoul, south korea",,,1967,,,,,,102,,,,,
china citic bank,,"chaoyang, china",,,1987,,,,,,57,,,,,
visa,,"san francisco, california",,,1958,,,,,,25,,,,,
target,,"minneapolis, minnesota",,,1902,,,,,,106,,,,,
bbva-banco bilbao vizcaya,,"madrid, spain",,,1999,,,,,,42,,,,,
tesla,,"austin, texas",,,2003,,,,,,53,,,,,
deere & company,,"moline, illinois",,,1837,,,,,,44,,,,,
hdfc bank,,"mumbai, india",,,1994,,,,,,22,,,,,
barclays,,"london, united kingdom",,,1896,,,,,,30,,,,,
munich re,,"munich, germany",,,1880,,,,,,84,,,,,
japan post holdings,,"tokyo, japan",,,1871,,,,,,103,,,,,
walgreens,,"deerfield, illinois",,,1901,,,,,,135,,,,,
danaher,,"washington, district of columbia",,,1984,,,,,,30,,,,,
generali group,,"trieste, italy",,,1831,,,,,,102,,,,,
mller-maersk,,"copenhagen, denmark",,,2009,,,,,,62,,,,,
lowe's,,"mooresville, north carolina",,,1921,,,,,,96,,,,,
fedex,,"memphis, tennessee",,,1971,,,,,,91,,,,,
deutsche post,,"bonn, germany",,,1995,,,,,,96,,,,,
pnc financial services,,"pittsburgh, pennsylvania",,,1845,,,,,,19,,,,,
broadcom,,"san jose, california",,,1961,,,,,,28,,,,,
lukoil,,"moscow, russia",,,1991,,,,,,125,,,,,
medtronic,,"dublin, ireland",,,1949,,,,,,31,,,,,
sap,,"walldorf, germany",,,1972,,,,,,33,,,,,
sk hynix,,"icheon, south korea",,,1949,,,,,,37,,,,,
engie,,"la defense, france",,,2008,,,,,,68,,,,,
lockheed martin,,"bethesda, maryland",,,1912,,,,,,65,,,,,
blackrock,,"new york, new york",,,1988,,,,,,20,,,,,
westpac banking group,,"sydney, australia",,,1817,,,,,,20,,,,,
duke energy,,"charlotte, north carolina",,,1904,,,,,,25,,,,,
dell technologies,,"round rock, texas",,,1984,,,,,,106,,,,,
vinci,,"nanterre, france",,,1899,,,,,,59,,,,,
tokio marine holdings,,"tokyo, japan",,,1879,,,,,,50,,,,,
america movil,,"mexico city, mexico",,,2000,,,,,,48,,,,,
eon,,"essen, germany",,,2000,,,,,,91,,,,,
anglo american,,"london, united kingdom",,,1917,,,,,,41,,,,,
banco bradesco,,"osasco, brazil",,,1943,,,,,,28,,,,,
ing group,,"amsterdam, netherlands",,,1991,,,,,,21,,,,,
accenture,,"dulin, ireland",,,1955,,,,,,56,,,,,
honeywell international,,"charlotte, north carolina",,,1906,,,,,,34,,,,,
mizuho financial,,"tokyo, japan",,,2003,,,,,,26,,,,,
linde,,"guildford, united kingdom",,,1879,,,,,,30,,,,,
arcelormittal,,"luxembourg, luxembourg",,,2006,,,,,,76,,,,,
canadian imperial bank,,"toronto, canada",,,1867,,,,,,18,,,,,
poly developments & holdings group,,"guangzhou, china",,,1992,,,,,,42,,,,,
micron technology,,"boise, idaho",,,1978,,,,,,31,,,,,
anz,,"melbourne, australia",,,1835,,,,,,18,,,,,
fubon financial,,"taipei, taiwan",,,2001,,,,,,33,,,,,
china telecom,,"beijing, china",,,2002,,,,,,68,,,,,
hca healthcare,,"nashville, tennessee",,,1968,,,,,,59,,,,,
dow,,"midland, michigan",,,1897,,,,,,58,,,,,
telefonica,,"madrid, spain",,,1924,,,,,,46,,,,,
china vanke,,"shenzhen, china",,,1984,,,,,,71,,,,,
nab - national australia bank,,"melbourne, australia",,,1981,,,,,,15,,,,,
cathay financial,,"taipei, taiwan",,,1975,,,,,,34,,,,,
qualcomm,,"san diego, california",,,1985,,,,,,36,,,,,
l'oreal,,"clichy, france",,,1909,,,,,,38,,,,,
allstate,,"markham, ontario",,,1931,,,,,,50,,,,,
saic motor,,"shanghai, china",,,1955,,,,,,121,,,,,
icici bank,,"vadodara, india",,,1994,,,,,,21,,,,,
china everbright bank,,"beijing, china",,,1992,,,,,,42,,,,,
gilead sciences,,"foster city, california",,,1987,,,,,,27,,,,,
china pacific insurance,,"shanghai, china",,,1991,,,,,,68,,,,,
nvidia,,"santa clara, california",,,1993,,,,,,26,,,,,
amgen,,"thousand oaks, california",,,1980,,,,,,26,,,,,
union pacific,,"omaha, nebraska",,,1862,,,,,,22,,,,,
dai-ichi life insurance,,"tokyo, japan",,,1902,,,,,,66,,,,,
nike,,"beaverton, oregon",,,1964,,,,,,46,,,,,
takeda pharmaceutical,,"tokyo, japan",,,1781,,,,,,31,,,,,
philip morris international,,"new york, new york",,,1847,,,,,,31,,,,,
paypal,,"san jose, california",,,1998,,,,,,25,,,,,
china resources land,,"hong kong, hong kong",,,1994,,,,,,33,,,,,
oversea-chinese banking,,"singapore, singapore",,,1912,,,,,,22,,,,,
midea group,,"guandong, china",,,1968,,,,,,50,,,,,
travelers,,"new york, new york",,,1864,,,,,,35,,,,,
eli lilly,,"indianapolis, indiana",,,1876,,,,,,28,,,,,
mondelez international,,"chicago, illinois",,,2012,,,,,,28,,,,,
mcdonald's,,"chicago, illinois",,,1955,,,,,,23,,,,,
general electric,,"mississauga, ontario",,,1892,,,,,,74,,,,,
societe generale,,"paris, france",,,1864,,,,,,35,,,,,
schneider electric,,"rueil-malmaison, france",,,1836,,,,,,34,,,,,
3m,,"st. paul, minnesota",,,1902,,,,,,35,,,,,
aflac,,"columbus, ohio",,,1955,,,,,,22,,,,,
oil & natural gas,,"new delhi, india",,,1956,,,,,,66,,,,,
southern company,,"atlanta, georgia",,,1945,,,,,,23,,,,,
deutsche bank,,"frankfurt, germany",,,1870,,,,,,36,,,,,
ptt,,"bangkok, thailand",,,1978,,,,,,70,,,,,
ck hutchison,,"hong kong, hong kong",,,2014,,,,,,36,,,,,
canadian natural resources,,"calgary, canada",,,1973,,,,,,24,,,,,
sun life financial,,"toronto, canada",,,1865,,,,,,29,,,,,
northrop grumman,,"falls church, virginia",,,1939,,,,,,35,,,,,
archer daniels midland,,"chicago, illinois",,,1902,,,,,,85,,,,,
marathon petroleum,,"findlay, ohio",,,2009,,,,,,119,,,,,
china minsheng bank,,"beijing, china",,,1996,,,,,,50,,,,,
legal & general group,,"london, united kingdom",,,1836,,,,,,62,,,,,
netflix,,"los gatos, california",,,1997,,,,,,30,,,,,
progressive,,"mayfield village, ohio",,,1937,,,,,,48,,,,,
longfor group holdings,,"beijing, china",,,1993,,,,,,34,,,,,
dbs,,"singapore, singapore",,,1968,,,,,,12,,,,,
cosco shipping,,"tianjin, china",,,2005,,,,,,51,,,,,
china communications construction,,"beijing, china",,,2006,,,,,,108,,,,,
natwest group,,"edinburgh, united kingdom",,,1968,,,,,,17,,,,,
exelon,,"chicago, illinois",,,2000,,,,,,39,,,,,
humana,,"louisville, kentucky",,,1961,,,,,,84,,,,,
general dynamics,,"reston, virginia",,,1952,,,,,,38,,,,,
power corp of canada,,"montreal, canada",,,1925,,,,,,57,,,,,
qatar national bank,,"doha, qatar",,,1964,,,,,,14,,,,,
bayer,,"leverkusen, germany",,,1863,,,,,,52,,,,,
kkr,,"new york, new york",,,1976,,,,,,19,,,,,
country garden holdings,,"foshan, china",,,1992,,,,,,81,,,,,
nextera energy,,"juno beach, florida",,,1984,,,,,,23,,,,,
