name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
sixt se,pullach,,,,1912,"7,540",,,,transportation and logistics,,,,,,public
sgroup,du eldorf,,,,1871,"13,872",,,,industrial manufacturing,,,,,,private
aunde group se,monchengladbach,,,,1899,"24,500",,,,automotive,,,,,,private
zech group gmbh,bremen,,,,1909,"10,700",,,,industrial manufacturing,,,,,,private
goldbeck gmbh,bielefeld,,,,1969,"5,500",,,,industrial manufacturing,,,,,,private
otto fuchs kg,meinerzhagen,,,,1910,"9,359",,,,industrial manufacturing,,,,,,private
vorwerk & co kg,wuppertal,,,,1883,"13,000",,,,consumer products,,,,,,private
august storck kg,berlin,,,,1903,"6,050",,,,foods and beverages,,,,,,private
hubert burda media holding kg,munchen,,,,1903,"12,135",,,,media and entertainment,,,,,,private
drager group,lubeck,,,,1889,"14,603",,,,healthcare,,,,,,public
peter cremer holding gmbh & co kg,hamburg,,,,1946,"2,000",,,,industrial manufacturing,,,,,,private
phw group,visbek,,,,1932,"6,979",,,,foods and beverages,,,,,,private
leopold kostal gmbh & co kg,ludenscheid,,,,1912,"17,946",,,,technology,,,,,,private
hellmann worldwide logistics gmbh & co kg,osnabruck,,,,1871,"13,034",,,,transportation and logistics,,,,,,private
fuchs petrolub se,mannheim,,,,1931,"5,456",,,,industrial manufacturing,,,,,,public
alfred karcher se & co kg,winnenden,,,,1935,"12,300",,,,industrial manufacturing,,,,,,private
vaillant group,remscheid,,,,1874,"12,070",,,,industrial manufacturing,,,,,,private
bauer media group,hamburg,,,,1875,"11,500",,,,media and entertainment,,,,,,private
aton gmbh,munchen,,,,1969,"18,678",,,,financial services,,,,,,private
neumann group,hamburg,,,,1934,"2,000",,,,foods and beverages,,,,,,private
friedhelm loh stiftung & co kg,haiger,,,,1961,"11,500",,,,industrial manufacturing,,,,,,private
avag holding se,augsburg,,,,1915,"5,200",,,,retail,,,,,,private
skion gmbh aka altana ...,wesel,,,,1873,"6,323",,,,industrial manufacturing,,,,,,private
muhr und bender kg,attendorn,,,,1916,"13,000",,,,automotive,,,,,,private
phoenix contact gmbh & co kg,blomberg,,,,1923,"16,500",,,,industrial manufacturing,,,,,,private
ebm-papst group,mulfingen,,,,1963,"15,000",,,,profe ional services,,,,,,private
cronimet holding gmbh,karlsruhe,,,,1980,"1,578",,,,industrial manufacturing,,,,,,private
ew group gmbh,visbek,,,,1932,"10,373",,,,pharmaceuticals and life sciences,,,,,,private
ksb se & co kgaa,frankenthal,,,,1871,"15,713",,,,industrial manufacturing,,,,,,public
vie mann werke gmbh & co kg,allendorf,,,,1917,"12,100",,,,industrial manufacturing,,,,,,private
giesecke & devrient gmbh,munchen,,,,1852,"11,389",,,,profe ional services,,,,,,private
bernard krone holding gmbh & co kg,spelle,,,,1906,"4,558",,,,industrial manufacturing,,,,,,private
schmitz cargobull ag,horstmar,,,,1892,"6,400",,,,industrial manufacturing,,,,,,private
haribo holding gmbh & co kg,grafschaft,,,,1920,"7,000",,,,foods and beverages,,,,,,private
rochling se & co kg,mannheim,,,,1822,"10,929",,,,industrial manufacturing,,,,,,private
hartmann group,heidenheim,,,,1818,"10,616",,,,healthcare,,,,,,public
allegro invest se aka fre napf ...,krefeld,,,,1990,"12,300",,,,financial services,,,,,,private
aveco holding ag aka wisag facility service holding gmbh,frankfurt am main,,,,1965,"49,703",,,,profe ional services,,,,,,private
rohde & schwarz gmbh & co kg,munchen,,,,1933,"11,500",,,,technology,,,,,,private
