name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
elektron,gothenburg,,,,,1998,,,,,recreational products,consumer goods,,,,,,,,,
elfa international,malmo,,,,,1948,,,,,furnishings,consumer goods,,,,,,,,,
ellos,boras,,,,,1947,,,,,broadline retailers,consumer services,,,,,,,,,
enea ab,kista,,,,,1968,,,,,software,technology,,,,,,,,,
eniro,stockholm,,,,,2000,,,,,internet,technology,,,,,,,,,
epidemic sound,stockholm,,,,,2009,,,,,internet,technology,,,,,,,,,
ericsson,stockholm,,,,,1876,,,,,telecommunications equipment,technology,,,,,,,,,
esab,gothenburg,,,,,1904,,,,,business support services,industrials,,,,,,,,,
eskilstuna energy and environment,eskilstuna,,,,,1993,,,,,conventional electricity,utilities,,,,,,,,,
esselte,stockholm,,,,,1913,,,,,industrial suppliers,industrials,,,,,,,,,
european spallation source,lund,,,,,2013,,,,,business support services,industrials,,,,,,,,,
fagerhult group,habo,,,,,1945,,,,,building materials & fixtures,industrials,,,,,,,,,
fatshark,stockholm,,,,,2008,,,,,software,technology,,,,,,,,,
fjallraven,ornskoldsvik,,,,,1960,,,,,clothing & accessories,consumer goods,,,,,,,,,
fkab,uddevalla,,,,,1961,,,,,business support services,industrials,,,,,,,,,
foreningsbanken,stockholm,,,,,1992,,,,,banks,financials,,,,,,,,,
forex bank,stockholm,,,,,1927,,,,,investment services,financials,,,,,,,,,
frictional games,helsingborg,,,,,2007,,,,,software,technology,,,,,,,,,
galvin green,vaxjo,,,,,1990,,,,,clothing & accessories,consumer goods,,,,,,,,,
gb glace,stockholm,,,,,1942,,,,,food products,consumer goods,,,,,,,,,
gekas,falkenberg,,,,,1963,,,,,broadline retailers,consumer services,,,,,,,,,
getinge group,gothenburg,,,,,1904,,,,,medical equipment,health care,,,,,,,,,
goinge mekaniska,hassleholm,,,,,1946,,,,,heavy construction,industrials,,,,,,,,,
green cargo,solna,,,,,2001,,,,,delivery services,industrials,,,,,,,,,
grimaldi industri,stockholm,,,,,1970,,,,,-,conglomerates,,,,,,,,,
gunnebo group,gothenburg,,,,,1889,,,,,business support services,industrials,,,,,,,,,
h&m,stockholm,,,,,1947,,,,,apparel retailers,consumer services,,,,,,,,,
haglofs,torsang,,,,,1914,,,,,recreational products,consumer goods,,,,,,,,,
hagstrom,alvdalen,,,,,1925,,,,,recreational products,consumer goods,,,,,,,,,
haldex,landskrona,,,,,1887,,,,,auto parts,consumer goods,,,,,,,,,
hallberg-rassy,ellos,,,,,1943,,,,,recreational products,consumer goods,,,,,,,,,
handelsbanken,stockholm,,,,,1871,,,,,banks,financials,,,,,,,,,
hasselblad,gothenburg,,,,,1841,,,,,recreational products,consumer goods,,,,,,,,,
hastens,koping,,,,,1852,,,,,specialty retailers,consumer services,,,,,,,,,
hestra,hestra,,,,,1936,,,,,clothing & accessories,consumer goods,,,,,,,,,
hexagon ab,stockholm,,,,,1992,,,,,business support services,industrials,,,,,,,,,
hindustrial networks,halmstad,,,,,1988,,,,,fixed line telecommunications,telecommunications,,,,,,,,,
hoganas ab,hoganas,,,,,1797,,,,,iron & steel,basic materials,,,,,,,,,
holmen,stockholm,,,,,1875,,,,,paper,basic materials,,,,,,,,,
husaberg,mattighofen,,,,,1988,,,,,automobiles,consumer goods,,,,,,,,,
husqvarna group,stockholm,,,,,1689,,,,,industrial suppliers,industrials,,,,,,,,,
hydrauliska industri ab,hudiksvall,,,,,1944,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
iar systems,uppsala,,,,,1983,,,,,software,technology,,,,,,,,,
ica gruppen,stockholm,,,,,1938,,,,,broadline retailers,consumer services,,,,,,,,,
ifs ab,linkoping,,,,,1983,,,,,software,technology,,,,,,,,,
ikano bank,malmo,,,,,1995,,,,,banks,financials,,,,,,,,,
imint image intelligence ab,uppsala,,,,,2007,,,,,software,technology,,,,,,,,,
infranord,solna,,,,,2010,,,,,railroads,industrials,,,,,,,,,
ingate systems,stockholm,,,,,2001,,,,,software,technology,,,,,,,,,
intertex,stockholm,,,,,2001,,,,,computer hardware,technology,,,,,,,,,
investment ab latour,gothenburg,,,,,1984,,,,,investment services,financials,,,,,,,,,
investment ab oresund,stockholm,,,,,1961,,,,,investment services,financials,,,,,,,,,
investor ab,stockholm,,,,,1916,,,,,investment services,financials,,,,,,,,,
isadora,malmo,,,,,1983,,,,,personal products,consumer goods,,,,,,,,,
izettle,stockholm,,,,,2011,,,,,software,technology,,,,,,,,,
jlindeberg,stockholm,,,,,1997,,,,,clothing & accessories,consumer goods,,,,,,,,,
jeeves,stockholm,,,,,1992,,,,,software,technology,,,,,,,,,
jernhusen,stockholm,,,,,2001,,,,,railroads,industrials,,,,,,,,,
jofa,malung,,,,,1926,,,,,recreational products,consumer goods,,,,,,,,,
jonsereds fabrikers ab,jonsered,,,,,1832,,,,,industrial machinery,industrials,,,,,,,,,
kinnevik ab,stockholm,,,,,1936,,,,,investment services,financials,,,,,,,,,
klarna,stockholm,,,,,2005,,,,,broadline retailers,consumer services,,,,,,,,,
kockunaval solutions,malmo,,,,,1840,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
koenigsegg,angelholm,,,,,1994,,,,,automobiles,consumer goods,,,,,,,,,
kooperativa forbundet,stockholm,,,,,1899,,,,,consumer co-operatives,consumer services,,,,,,,,,
kopparbergs brewery,kopparberg,,,,,1882,,,,,brewers,consumer goods,,,,,,,,,
kosta glasbruk,kosta,,,,,1742,,,,,building materials & fixtures,industrials,,,,,,,,,
kronleins,halmstad,,,,,1836,,,,,brewers,consumer goods,,,,,,,,,
kungsornen,jarna,,,,,1929,,,,,food products,consumer goods,,,,,,,,,
l e lundbergforetagen,stockholm,,,,,1944,,,,,investment services,financials,,,,,,,,,
lansforsakringar,stockholm,,,,,1801,,,,,full line insurance,financials,,,,,,,,,
lansforsakringar bank,stockholm,,,,,1996,,,,,banks,financials,,,,,,,,,
lantmannen,stockholm,,,,,2001,,,,,farming & fishing,consumer goods,,,,,,,,,
leovegas,stockholm,,,,,2011,,,,,gambling,consumer services,,,,,,,,,
lindex,gothenburg,,,,,1954,,,,,apparel retailers,consumer services,,,,,,,,,
linjeflyg,stockholm,,,,,1957,,,,,airlines,consumer services,,,,,,,,,
lkab,lulea,,,,,1890,,,,,general mining,basic materials,,,,,,,,,
loomis,stockholm,,,,,1997,,,,,business support services,industrials,,,,,,,,,
lundin petroleum,stockholm,,,,,2001,,,,,exploration & production,oil & gas,,,,,,,,,
luxor ab,motala,,,,,1923,,,,,consumer electronics,consumer goods,,,,,,,,,
machinegames,uppsala,,,,,2009,,,,,software,technology,,,,,,,,,
malarenergi,vasteras,,,,,1861,,,,,conventional electricity,utilities,,,,,,,,,
maratone studios,stockholm,,,,,2001,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
massive entertainment,malmo,,,,,1997,,,,,software,technology,,,,,,,,,
mecel,gothenburg,,,,,1982,,,,,software,technology,,,,,,,,,
meda ab,solna,,,,,1954,,,,,pharmaceuticals,health care,,,,,,,,,
micromy,taby,,,,,2009,,,,,specialty chemicals,basic materials,,,,,,,,,
modern times group,stockholm,,,,,1987,,,,,broadcasting & entertainment,consumer services,,,,,,,,,
mojang,stockholm,,,,,2009,,,,,software,technology,,,,,,,,,
molnlycke health care,gothenburg,,,,,1849,,,,,medical equipment,health care,,,,,,,,,
monark,vansbro,,,,,1908,,,,,recreational products,consumer goods,,,,,,,,,
mysql ab,uppsala,,,,,1995,,,,,software,technology,,,,,,,,,
najad yachts,henan,,,,,1971,,,,,recreational products,consumer goods,,,,,,,,,
nanoradio,kista,,,,,2004,,,,,semiconductors,technology,,,,,,,,,
nasdaq nordic,stockholm,,,,,2003,,,,,investment services,financials,,,,,,,,,
ncc ab,solna,,,,,1988,,,,,heavy construction,industrials,,,,,,,,,
neogames,gothenburg,,,,,2006,,,,,publishing,consumer services,,,,,,,,,
neonode,stockholm,,,,,2001,,,,,computer hardware,telecommunications,,,,,,,,,
nextjet,stockholm,,,,,2002,,,,,airlines,consumer services,,,,,,,,,
nobia,stockholm,,,,,1996,,,,,durable household products,consumer goods,,,,,,,,,
nobina,stockholm,,,,,1999,,,,,travel & tourism,consumer services,,,,,,,,,
nohab,trollhattan,,,,,1916,,,,,diversified industrials,industrials,,,,,,,,,
nordiska kompaniet,stockholm,,,,,1864,,,,,broadline retailers,consumer services,,,,,,,,,
nordstjernan,stockholm,,,,,1890,,,,,-,conglomerates,,,,,,,,,
northstar,stockholm,,,,,2000,,,,,general industries,industrials,,,,,,,,,
nudie jeans,gothenburg,,,,,2001,,,,,clothing & accessories,consumer goods,,,,,,,,,
nyby bruk,torshalla,,,,,1829,,,,,iron & steel,basic materials,,,,,,,,,
nyfors,stockholm,,,,,1987,,,,,telecommunications equipment,technology,,,,,,,,,
nynas,stockholm,,,,,1928,,,,,exploration & production,oil & gas,,,,,,,,,
odd molly,stockholm,,,,,2002,,,,,clothing & accessories,consumer goods,,,,,,,,,
ohlins,upplands vasby,,,,,1976,,,,,auto parts,consumer goods,,,,,,,,,
onoff,upplands vasby,,,,,1971,,,,,broadline retailers,consumer services,,,,,,,,,
orexo,uppsala,,,,,1995,,,,,pharmaceuticals,health care,,,,,,,,,
oriflame,stockholm,,,,,1967,,,,,personal products,consumer goods,,,,,,,,,
orrefors glassworks,orrefors,,,,,1898,,,,,building materials & fixtures,industrials,,,,,,,,,
oskarshamn shipyard,oskarshamn,,,,,1863,,,,,commercial vehicles & trucks,industrials,,,,,,,,,
ovako,stockholm,,,,,1969,,,,,iron & steel,basic materials,,,,,,,,,
pagen,malmo,,,,,1878,,,,,food products,consumer goods,,,,,,,,,
paradox interactive,stockholm,,,,,1999,,,,,software,technology,,,,,,,,,
peab,forslov,,,,,1959,,,,,heavy construction,industrials,,,,,,,,,
peltarion,stockholm,,,,,2004,,,,,software,technology,,,,,,,,,
phadia,uppsala,,,,,1971,,,,,medical equipment,health care,,,,,,,,,
pharmacia,stockholm,,,,,1911,,,,,pharmaceuticals,health care,,,,,,,,,
polarbrod,alvsbyn,,,,,1972,,,,,food products,consumer goods,,,,,,,,,
postnord,solna,,,,,2009,,,,,delivery services,industrials,,,,,,,,,
postnord sverige,solna,,,,,1636,,,,,delivery services,industrials,,,,,,,,,
primus ab,stockholm,,,,,1892,,,,,household goods,consumer goods,,,,,,,,,
pripps,gothenburg,,,,,1828,,,,,brewers,consumer goods,,,,,,,,,
profoto,stockholm,,,,,1968,,,,,building materials & fixtures,industrials,,,,,,,,,
ps communication,stockholm,,,,,1997,,,,,business support services,industrials,,,,,,,,,
ratos,stockholm,,,,,1933,,,,,real estate holding & development,financials,,,,,,,,,
