name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
bristol myers squibb,,"new york, new york",,1933,,,,,,,,,
coca-cola,,"atlanta, georgia",,1892,,,,,,,,,
oracle,,"redwood shores, california",,1977,,,,,,,,,
sberbank,,"moscow, russia",,1841,,,,,,,,,
bank of montreal,,"montreal, canada",,1817,,,,,,,,,
vale,,"rio de janeiro, brazil",,1942,,,,,,,,,
edf,,"paris, france",,1955,,,,,,,,,
thermo fisher scientific,,"waltham, massachusetts",,1983,,,,,,,,,
credit agricole,,"montrouge, france",,1894,,,,,,,,,
airbus,,"leiden, netherlands",,1970,,,,,,,,,
costco wholesale,,"issaquah, washington",,1983,,,,,,,,,
hon hai precision,,"new taipei, taiwan",,1974,,,,,,,,,
unilever,,"london, united kingdom",,1929,,,,,,,,,
charter communications,,"stamford, connecticut",,1993,,,,,,,,,
sumitomo mitsui financial,,"tokyo, japan",,2002,,,,,,,,,
conocophillips,,"houston, texas",,1875,,,,,,,,,
glaxosmithkline,,"london, united kingdom",,2000,,,,,,,,,
intesa sanpaolo,,"turin, italy",,2007,,,,,,,,,
manulife,,"toronto, canada",,1887,,,,,,,,,
us bancorp,,"minneapolis, minnesota",,1929,,,,,,,,,
basf,,"ludwigshafen am rhein, germany",,1865,,,,,,,,,
cnooc,,"hong kong, hong kong",,1999,,,,,,,,,
abbott laboratories,,"chicago, illinois",,1888,,,,,,,,,
iberdrola,,"bilbao, spain",,1992,,,,,,,,,
china shenhua energy,,"beijing, china",,2004,,,,,,,,,
itau unibanco holding,,"sao paulo, brazil",,1944,,,,,,,,,
caterpillar,,"deerfield, illinois",,1925,,,,,,,,,
mitsui,,"tokyo, japan",,1947,,,,,,,,,
itochu,,"tokyo, japan",,1858,,,,,,,,,
charles schwab,,"san francisco, california",,1971,,,,,,,,,
truist financial,,"charlotte, north carolina",,1872,,,,,,,,,
enbridge,,"calgary, canada",,1949,,,,,,,,,
hitachi,,"tokyo, japan",,1910,,,,,,,,,
kddi,,"tokyo, japan",,1984,,,,,,,,,
hyundai motor,,"seoul, south korea",,1967,,,,,,,,,
china citic bank,,"chaoyang, china",,1987,,,,,,,,,
visa,,"san francisco, california",,1958,,,,,,,,,
target,,"minneapolis, minnesota",,1902,,,,,,,,,
bbva-banco bilbao vizcaya,,"madrid, spain",,1999,,,,,,,,,
tesla,,"austin, texas",,2003,,,,,,,,,
deere & company,,"moline, illinois",,1837,,,,,,,,,
hdfc bank,,"mumbai, india",,1994,,,,,,,,,
barclays,,"london, united kingdom",,1896,,,,,,,,,
munich re,,"munich, germany",,1880,,,,,,,,,
japan post holdings,,"tokyo, japan",,1871,,,,,,,,,
walgreens,,"deerfield, illinois",,1901,,,,,,,,,
danaher,,"washington, district of columbia",,1984,,,,,,,,,
generali group,,"trieste, italy",,1831,,,,,,,,,
mller-maersk,,"copenhagen, denmark",,2009,,,,,,,,,
lowe's,,"mooresville, north carolina",,1921,,,,,,,,,
fedex,,"memphis, tennessee",,1971,,,,,,,,,
deutsche post,,"bonn, germany",,1995,,,,,,,,,
pnc financial services,,"pittsburgh, pennsylvania",,1845,,,,,,,,,
broadcom,,"san jose, california",,1961,,,,,,,,,
lukoil,,"moscow, russia",,1991,,,,,,,,,
medtronic,,"dublin, ireland",,1949,,,,,,,,,
sap,,"walldorf, germany",,1972,,,,,,,,,
sk hynix,,"icheon, south korea",,1949,,,,,,,,,
engie,,"la defense, france",,2008,,,,,,,,,
lockheed martin,,"bethesda, maryland",,1912,,,,,,,,,
blackrock,,"new york, new york",,1988,,,,,,,,,
westpac banking group,,"sydney, australia",,1817,,,,,,,,,
duke energy,,"charlotte, north carolina",,1904,,,,,,,,,
dell technologies,,"round rock, texas",,1984,,,,,,,,,
vinci,,"nanterre, france",,1899,,,,,,,,,
tokio marine holdings,,"tokyo, japan",,1879,,,,,,,,,
america movil,,"mexico city, mexico",,2000,,,,,,,,,
eon,,"essen, germany",,2000,,,,,,,,,
anglo american,,"london, united kingdom",,1917,,,,,,,,,
banco bradesco,,"osasco, brazil",,1943,,,,,,,,,
ing group,,"amsterdam, netherlands",,1991,,,,,,,,,
accenture,,"dulin, ireland",,1955,,,,,,,,,
honeywell international,,"charlotte, north carolina",,1906,,,,,,,,,
mizuho financial,,"tokyo, japan",,2003,,,,,,,,,
linde,,"guildford, united kingdom",,1879,,,,,,,,,
arcelormittal,,"luxembourg, luxembourg",,2006,,,,,,,,,
canadian imperial bank,,"toronto, canada",,1867,,,,,,,,,
poly developments & holdings group,,"guangzhou, china",,1992,,,,,,,,,
micron technology,,"boise, idaho",,1978,,,,,,,,,
anz,,"melbourne, australia",,1835,,,,,,,,,
fubon financial,,"taipei, taiwan",,2001,,,,,,,,,
china telecom,,"beijing, china",,2002,,,,,,,,,
hca healthcare,,"nashville, tennessee",,1968,,,,,,,,,
dow,,"midland, michigan",,1897,,,,,,,,,
telefonica,,"madrid, spain",,1924,,,,,,,,,
china vanke,,"shenzhen, china",,1984,,,,,,,,,
nab - national australia bank,,"melbourne, australia",,1981,,,,,,,,,
cathay financial,,"taipei, taiwan",,1975,,,,,,,,,
qualcomm,,"san diego, california",,1985,,,,,,,,,
l'oreal,,"clichy, france",,1909,,,,,,,,,
allstate,,"markham, ontario",,1931,,,,,,,,,
saic motor,,"shanghai, china",,1955,,,,,,,,,
icici bank,,"vadodara, india",,1994,,,,,,,,,
china everbright bank,,"beijing, china",,1992,,,,,,,,,
gilead sciences,,"foster city, california",,1987,,,,,,,,,
china pacific insurance,,"shanghai, china",,1991,,,,,,,,,
nvidia,,"santa clara, california",,1993,,,,,,,,,
amgen,,"thousand oaks, california",,1980,,,,,,,,,
union pacific,,"omaha, nebraska",,1862,,,,,,,,,
dai-ichi life insurance,,"tokyo, japan",,1902,,,,,,,,,
nike,,"beaverton, oregon",,1964,,,,,,,,,
takeda pharmaceutical,,"tokyo, japan",,1781,,,,,,,,,
philip morris international,,"new york, new york",,1847,,,,,,,,,
paypal,,"san jose, california",,1998,,,,,,,,,
china resources land,,"hong kong, hong kong",,1994,,,,,,,,,
oversea-chinese banking,,"singapore, singapore",,1912,,,,,,,,,
midea group,,"guandong, china",,1968,,,,,,,,,
travelers,,"new york, new york",,1864,,,,,,,,,
eli lilly,,"indianapolis, indiana",,1876,,,,,,,,,
mondelez international,,"chicago, illinois",,2012,,,,,,,,,
mcdonald's,,"chicago, illinois",,1955,,,,,,,,,
general electric,,"mississauga, ontario",,1892,,,,,,,,,
