name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
volkswagen group italia spa,,,,,,,,,,,,,,,"viale gerard richard gumpert 1, verona, 37137, verona, italy",corporation
versalis spa,,,,,,,,,,,,,,,"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",corporation
a menarini industrie farmaceutiche riunite srl,,,,,,,,,,,,,,,"via dei sette santi 3, firenze, 50131, firenze, italy",corporation
barilla holding srl,,,,,,,,,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
guido m barilla e flli sapa,,,,,,,,,,,,,,,"via mantova 166, parma, 43122, parma, italy",corporation
cremonini spa,,,,,,,,,,,,,,,"via modena 53, castelvetro di modena, 41014, modena, italy",corporation
cremofin srl,,,,,,,,,,,,,,,"via modena 53, castelvetro di modena, 41014, modena, italy",corporation
societa' europea veicoli leggeri sevel spa,,,,,,,,,,,,,,,"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",corporation
ferrari - societa'per azioni esercizio fabbriche automobili e corse,,,,,,,,,,,,,,,"via abetone inferiore 2, maranello, 41053, modena, italy",corporation
credit agricole vita spa,,,,,,,,,,,,,,,"strada dell'universita' 1, parma, 43121, parma, italy",corporation
sonatrach raffineria italiana srl,,,,,,,,,,,,,,,"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",corporation
coop alleanza 30 soc coop,,,,,,,,,,,,,,,"via villanova 29/7, castenaso, 40055, bologna, italy",corporation
chimet spa,,,,,,,,,,,,,,,"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",corporation
riva forni elettrici spa,,,,,,,,,,,,,,,"viale certosa 249, milano, 20151, milano, italy",corporation
nuovo pig holding spa,,,,,,,,,,,,,,,"via felice matteucci 2, firenze, 50127, firenze, italy",corporation
zeor finanziaria spa,,,,,,,,,,,,,,,"via di porta pinciana 4, roma, 00187, roma, italy",corporation
autostrade per l'italia spa,,,,,,,,,,,,,,,"via alberto bergamini 50, roma, 00159, roma, italy",corporation
trenitalia spa,,,,,,,,,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
fideuram vita spa,,,,,,,,,,,,,,,"via ennio quirino visconti 80, roma, 00193, roma, italy",corporation
marcegaglia holding srl,,,,,,,,,,,,,,,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",corporation
vodafone italia spa,,,,,,,,,,,,,,,"via guglielmo jervis 13, ivrea, 10015, torino, italy",corporation
edison energia spa,,,,,,,,,,,,,,,"foro buonaparte 31, milano, 20121, milano, italy",corporation
italpreziosi spa,,,,,,,,,,,,,,,"localita' san zeno zona industriale strada a 32, arezzo, 52100, arezzo, italy",corporation
assicurazioni generali spa,,,,,,,,,,,,,,,"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",corporation
groupe psa italia spa,,,,,,,,,,,,,,,"via plava 80, torino, 10135, torino, italy",corporation
finanziaria d'investimento fininvest spa,,,,,,,,,,,,,,,"via pietro paleocapa 3, milano, 20121, milano, italy",corporation
cassa depositi e prestiti spa,,,,,,,,,,,,,,,"via goito 4, roma, 00185, roma, italy",corporation
aurelia srl,,,,,,,,,,,,,,,"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",corporation
aia agricola italiana alimentare spa,,,,,,,,,,,,,,,"via valpantena 18/g, verona, 37142, verona, italy",corporation
banco bpm spa,,,,,,,,,,,,,,,"piazza nogara 2, verona, 37121, verona, italy",corporation
acea spa,,,,,,,,,,,,,,,"piazzale ostiense 2, roma, 00154, roma, italy",corporation
b&d holding spa,,,,,,,,,,,,,,,"via giovanni da verrazzano 15, novara, 28100, novara, italy",corporation
de agostini spa,,,,,,,,,,,,,,,"via giovanni da verrazzano 15, novara, 28100, novara, italy",corporation
gs spa,,,,,,,,,,,,,,,"via caldera 21, milano, 20153, milano, italy",corporation
cnp vita assicurazione spa,,,,,,,,,,,,,,,"via angelo scarsellini 14, milano, 20161, milano, italy",corporation
cnp vita assicura spa,,,,,,,,,,,,,,,"via angelo scarsellini 14, milano, 20161, milano, italy",corporation
pac 2000 a soc coop,,,,,,,,,,,,,,,"via del rame snc, perugia, 06134, perugia, italy",cooperative
ludo spa,,,,,,,,,,,,,,,"via antonio fogazzaro 28, milano, 20135, milano, italy",corporation
prada spa,,,,,,,,,,,,,,,"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy",corporation
acciaierie d'italia spa,,,,,,,,,,,,,,,"viale certosa 239, milano, 20151, milano, italy",corporation
acciaierie d'italia holding spa,,,,,,,,,,,,,,,"viale certosa 239, milano, 20151, milano, italy",corporation
allianz global investors gmbh,,,,,,,,,,,,,,,"via durini 1, milano, 20122, milano, italy",foreign company
sony europe bv,,,,,,,,,,,,,,,"via angelo rizzoli 4, milano, 20132, milano, italy",foreign company
sorgenia spa,,,,,,,,,,,,,,,"via alessandro algardi 4, milano, 20148, milano, italy",corporation
f2i er 1 spa,,,,,,,,,,,,,,,"via san protaso 5, milano, 20121, milano, italy",corporation
fimedi spa,,,,,,,,,,,,,,,"corso re umberto 10, torino, 10121, torino, italy",corporation
buzzi unicem spa,,,,,,,,,,,,,,,"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy",corporation
genertellife spa,,,,,,,,,,,,,,,"via marocchesa 14, mogliano veneto, 31021, treviso, italy",corporation
logista italia spa,,,,,,,,,,,,,,,"via valadier 37, roma, 00193, roma, italy",corporation
pirelli tyre spa,,,,,,,,,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
