name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
acadia pharmaceuticals,,usa,,,,,,,2980000000.0,,,,,,18.0,,,,,,
verint systems,,usa,,,,,,,2470000000.0,software tech ,,,,,37.0,,,,,,
genus,,united-kingdom,,,,,,,2470000000.0,biotech genomics ,,,,,37.0,,,,,,
luminar technologies,,usa,,,,,,,2450000000.0,lidar tech tech-hardware autonomous-driving ,,,,,6.0,,,,,,
billerudkorsnas,,sweden,,,,,,,3150000000.0,pulp-and-paper packaging ,,,,,12.0,,,,,,
hang lung group,,hong-kong,,,,,,,2470000000.0,investment ,,,,,1.0,,,,,,
covivio hotels,,france,,,,,,,2470000000.0,hotels real-estate investment reit travel ,,,,,16.0,,,,,,
britvic,,united-kingdom,,,,,,,2470000000.0,beverages ,,,,,9.0,,,,,,
ultrapar participacoes,,brazil,,,,,,,2800000000.0,,,,,,2.0,,,,,,
ironsource,,israel,,,,,,,2810000000.0,software tech ,,,,,2.0,,,,,,
jk cement,,india,,,,,,,2820000000.0,cement building-materials ,,,,,36.0,,,,,,
lithium americas,,canada,,,,,,,2810000000.0,mining ,,,,,20.0,,,,,,
metcash,,australia,,,,,,,2810000000.0,,,,,,2.0,,,,,,
equity commonwealth,,usa,,,,,,,2800000000.0,real-estate reit investment ,,,,,25.0,,,,,,
varonis,,usa,,,,,,,2810000000.0,software tech it-security ,,,,,25.0,,,,,,
atul,,india,,,,,,,2810000000.0,chemicals ,,,,,95.0,,,,,,
arcosa,,usa,,,,,,,2800000000.0,,,,,,58.0,,,,,,
pacwest bancorp,,usa,,,,,,,2820000000.0,,,,,,23.0,,,,,,
pacific biosciences,,usa,,,,,,,2810000000.0,,,,,,12.0,,,,,,
nternational bancshares corp,,usa,,,,,,,2810000000.0,,,,,,45.0,,,,,,
altarea,,france,,,,,,,2820000000.0,real-estate ,,,,,139.0,,,,,,
corvel corporation,,usa,,,,,,,2820000000.0,healthcare ,,,,,163.0,,,,,,
allreal holding,,switzerland,,,,,,,2820000000.0,real-estate ,,,,,170.0,,,,,,
computacenter,,united-kingdom,,,,,,,2820000000.0,professional-services it-services ,,,,,24.0,,,,,,
park hotels & resorts,,usa,,,,,,,2830000000.0,,,,,,12.0,,,,,,
vector limited,,new-zealand,,,,,,,2830000000.0,electricity oil-gas utility-companies energy ,,,,,2.0,,,,,,
