name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
baroni home,,italy,,,,2016,,,,,ecommerce,,,,,,,,,,
dayshape,,uk,,,,2013,,,,,technology,,,,,,,,,,
marketers company,,italy,,,,2016,,,,,advertising,,,,,,,,,,
easo magno,,spain,,,,2017,,,,,beauty,,,,,,,,,,
greyfood,,germany,,,,2016,,,,,retail,,,,,,,,,,
misfits health,,uk,,,,2016,,,,,food & beverage,,,,,,,,,,
meilleursbienscom,,france,,,,2010,,,,,property,,,,,,,,,,
fasanara capital,,uk,,,,2011,,,,,financial services,,,,,,,,,,
ntechlab,,cyprus,,,,2015,,,,,technology,,,,,,,,,,
babylino sensitive,,italy,,,,2016,,,,,personal & household goods,,,,,,,,,,
fastned,,the netherlands,,,,2012,,,,,technology,,,,,,,,,,
oxray,,portugal,,,,2009,,,,,health,,,,,,,,,,
zega invest,,germany,,,,2017,,,,,property,,,,,,,,,,
abylon consulting,,hungary,,,,2016,,,,,technology,,,,,,,,,,
milrab,,norway,,,,2005,,,,,ecommerce,,,,,,,,,,
urbantz,,belgium,,,,2015,,,,,technology,,,,,,,,,,
tricas construction,,uk,,,,2017,,,,,construction,,,,,,,,,,
florence one,,italy,,,,2017,,,,,technology,,,,,,,,,,
ergotopia,,germany,,,,2014,,,,,retail,,,,,,,,,,
mculecom kft,,hungary,,,,2011,,,,,chemicals & pharmaceuticals,,,,,,,,,,
filo,,italy,,,,2014,,,,,technology,,,,,,,,,,
homepal,,italy,,,,2014,,,,,property,,,,,,,,,,
staffbase,,germany,,,,2014,,,,,technology,,,,,,,,,,
ilon materiel,,france,,,,2016,,,,,construction,,,,,,,,,,
bio-marine,,ireland,,,,2014,,,,,personal & household goods,,,,,,,,,,
isodeco,,france,,,,2016,,,,,construction,,,,,,,,,,
treedom,,italy,,,,2010,,,,,support services,,,,,,,,,,
fenstermaxx24,,germany,,,,2016,,,,,retail,,,,,,,,,,
pohl & sohne gerustbau,,germany,,,,2017,,,,,construction,,,,,,,,,,
yso corp,,france,,,,2013,,,,,media,,,,,,,,,,
gyada cosmetics,,italy,,,,2017,,,,,beauty,,,,,,,,,,
privitar,,uk,,,,2014,,,,,technology,,,,,,,,,,
delineate,,uk,,,,2015,,,,,technology,,,,,,,,,,
spyrosoft,,poland,,,,2016,,,,,technology,,,,,,,,,,
bio energy solutions,,slovakia,,,,2014,,,,,waste management & recycling,,,,,,,,,,
increso,,italy,,,,2015,,,,,management consulting,,,,,,,,,,
lsg - logistic & service group,,italy,,,,2016,,,,,transport,,,,,,,,,,
energihem,,sweden,,,,2015,,,,,construction,,,,,,,,,,
amity,,uk,,,,2012,,,,,technology,,,,,,,,,,
goyago,,germany,,,,2014,,,,,retail,,,,,,,,,,
la regie de portage salarial,,france,,,,2016,,,,,support services,,,,,,,,,,
dall energy,,denmark,,,,2007,,,,,energy,,,,,,,,,,
appinio,,germany,,,,2014,,,,,technology,,,,,,,,,,
pinsami,,italy,,,,2015,,,,,food & beverage,,,,,,,,,,
aer trading,,france,,,,2013,,,,,retail,,,,,,,,,,
valumen,,france,,,,2014,,,,,support services,,,,,,,,,,
follow,,france,,,,2016,,,,,advertising,,,,,,,,,,
darpdecade,,germany,,,,2016,,,,,retail,,,,,,,,,,
bolt,,estonia,,,,2013,,,,,technology,,,,,,,,,,
kiteworldshopcom,,italy,,,,2014,,,,,ecommerce,,,,,,,,,,
peter kenkel,,germany,,,,2006,,,,,retail,,,,,,,,,,
templafy,,denmark,,,,2014,,,,,technology,,,,,,,,,,
comservice,,italy,,,,2014,,,,,support services,,,,,,,,,,
falcor presse,,italy,,,,2017,,,,,industrial goods,,,,,,,,,,
roomraccoon,,the netherlands,,,,2017,,,,,technology,,,,,,,,,,
signaturit,,spain,,,,2013,,,,,technology,,,,,,,,,,
modulr,,uk,,,,2015,,,,,fintech,,,,,,,,,,
profishop,,germany,,,,2012,,,,,ecommerce,,,,,,,,,,
floer,,the netherlands,,,,2015,,,,,interiors,,,,,,,,,,
audiosalus,,italy,,,,2011,,,,,retail,,,,,,,,,,
statsbomb,,uk,,,,2016,,,,,technology,,,,,,,,,,
theras biocare,,italy,,,,2013,,,,,pharmaceuticals,,,,,,,,,,
stenn,,uk,,,,2016,,,,,fintech,,,,,,,,,,
nanushka,,hungary,,,,2012,,,,,fashion,,,,,,,,,,
dpm - deutsches personal management,,germany,,,,2016,,,,,support services,,,,,,,,,,
monese,,uk,,,,2013,,,,,fintech,,,,,,,,,,
arquimea,,spain,,,,2005,,,,,technology,,,,,,,,,,
groupe perspective,,france,,,,2013,,,,,education,,,,,,,,,,
funnel,,sweden,,,,2014,,,,,technology,,,,,,,,,,
living quarter,,germany,,,,2015,,,,,health,,,,,,,,,,
svea solar,,sweden,,,,2013,,,,,energy,,,,,,,,,,
bevcraft group,,ireland,,,,2016,,,,,food & beverage,,,,,,,,,,
learning technologies group,,uk,,,,2013,,,,,technology,,,,,,,,,,
cura farma,,italy,,,,2014,,,,,health,,,,,,,,,,
kamado bono,,lithuania,,,,2013,,,,,personal & household goods,,,,,,,,,,
sipadan,,spain,,,,2007,,,,,management consulting,,,,,,,,,,
dateio,,czech republic,,,,2013,,,,,fintech,,,,,,,,,,
crest investment,,germany,,,,2016,,,,,property,,,,,,,,,,
componenti digitali,,italy,,,,2017,,,,,retail,,,,,,,,,,
immo-konzepte,,germany,,,,2006,,,,,property,,,,,,,,,,
swipbox,,denmark,,,,2014,,,,,technology,,,,,,,,,,
nextory,,sweden,,,,2015,,,,,media,,,,,,,,,,
itds polska,,poland,,,,2016,,,,,technology,,,,,,,,,,
savait,,italy,,,,2015,,,,,ecommerce,,,,,,,,,,
adpone,,spain,,,,2015,,,,,advertising,,,,,,,,,,
nord security,,lithuania,,,,2012,,,,,cyber security,,,,,,,,,,
mews,,the netherlands,,,,2012,,,,,technology,,,,,,,,,,
titulae,,spain,,,,2015,,,,,education,,,,,,,,,,
systemeio,,ireland,,,,2016,,,,,ecommerce,,,,,,,,,,
eodh sa,,greece,,,,2003,,,,,aerospace & defence,,,,,,,,,,
