name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
eni spa,,italy,,,,,claudio descalzi,,,energy,,,,,,
biontech se,,germany,,,,,,,,healthcare,,,,,,
lloyds banking group,,uk,,,,,charlie nunn,,,financial services,,,,,,
ihs markit,,uk,,,,,lance uggla,,,industries,,,,,,
nordea bank abp,,finland,,,,,frank vang-jensen,,,financial services,,,,,,
prudential,,uk,,,,,charles f lowrey,,,financial services,,,,,,
eqt ab publ,,sweden,,,,,christian sinding,,,financial services,,,,,,
f&c investment trust,,uk,,,,,,,,investments,,,,,,
barclays plc,,uk,,,,,c s venkatakrishnan,,,financial services,,,,,,
3i group,,uk,,,,,simon a borrows,,,financial services,,,,,,
mmc norilsk nickel,,russia,,,,,vladimir potanin,,,basic materials,,,,,,
orsted a/s,,denmark,,,,,mads nipper,,,utilities,,,,,,
credit agricole,,france,,,,,philippe brassac,,,financial services,,,,,,
givaudan sa,,switzerland,,,,,gilles andrier,,,basic materials,,,,,,
aptiv,,ireland,,,,,kevin p clark,,,consumer cyclical,,,,,,
stmicroelectronics,,switzerland,,,,,jean-marc chery,,,technology,,,,,,
trane technologies plc,,ireland,,,,,,,,industry machinery,,,,,,
munchener ruckversicherungs-gesellschaft,,germany,,,,,joachim wenning,,,financial services,,,,,,
vodafone group,,uk,,,,,nick read,,,communication services,,,,,,
spotify technology,,sweden,,,,,daniel ek,,,communication services,,,,,,
experian,,ireland,,,,,brian cassin,,,industries,,,,,,
vonovia se,,germany,,,,,rolf eberhard buch,,,real estate,,,,,,
banco bilbao vizcaya argentaria,,spain,,,,,onur genc,,,financial services,,,,,,
compass group,,uk,,,,,dominic blakemore,,,consumer cyclical,,,,,,
crh plc,,ireland,,,,,albert manifold,,,basic materials,,,,,,
da,,switzerland,,,,,veronique penchienati bosetta,,,consumer defensive,,,,,,
hexagon ab publ,,sweden,,,,,ola rollen,,,technology,,,,,,
partners group holding ag,,switzerland,,,,,david layton,,,financial services,,,,,,
alcon,,switzerland,,,,,david j endicott,,,healthcare,,,,,,
neste oyj,,finland,,,,,peter vanacker,,,energy,,,,,,
capgemini se,,france,,,,,aiman ezzat,,,technology,,,,,,
sartorius stedim biotech,,germany,,,,,joachim kreuzburg,,,healthcare,,,,,,
compagnie de saint-gobain,,france,,,,,benoit bazin,,,ceramic products,,,,,,
ferguson,,uk,,,,,kevin murphy,,,industries,,,,,,
