Cluster ID,Link Score,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
,,the hartford financial services group inc,"hartford, ct, united states",usa,,,,1810,"18,100",christopher jerome swift cpa,25760000000,"financialservices, insurance",financials,insurancediversified,20740000000,"https://www.thehartford.com, https://en.wikipedia.org/wiki/hartford financial svc.gp.",74,,,,,,
,,infineon technologies ag,"munich, germany",germany,,,,,"50,280",reinhard ploss,45350000000,"semiconductors, tech, dax, techhardware",technology,semiconductors,,https://www.infineon.com,32,,,,,,
,,okta inc,"san francisco, ca, united states",usa,,,,january 2009,"5,030",todd mckinnon,9870000000,"software, internet, tech, itsecurity",technology,softwareinfrastructure,1300000000,"https://www.okta.com, https://www.facebook.com/oktaidentity, https://twitter.com/okta, https://www.linkedin.com/company/okta-inc-/, https://en.wikipedia.org/wiki/okta  identity management ",61,,,,,,
,,nexon co ltd,"tokyo, japan",japan,,,,,"6,288",owen mahoney,21360000000,"videogames, entertainment, tech",communication services,electronic gaming & multimedia,,https://www.nexon.co.jp,21,,,,,,
,,billcom holdings inc,"palo alto, ca, united states",usa,,,,2006,"1,384",rene a lacerte,19650000000,"internet, financialservices",technology,softwareapplication,,"https://www.bill.com, https://www.facebook.com/billcom, https://twitter.com/billcom, https://www.linkedin.com/company/bill-com/, https://en.wikipedia.org/wiki/bill.com",110,,,,,,
909,0.67446923,keywords studios,,ireland,,,,,,,2810000000,"videogames, professionalservices",communication services,,,,33,,,,,,
,,nice ltd,"raaanana, israel",israel,,,,1986,"6,800",,19120000000,"software, tech",technology,softwareapplication,1840000000,"https://www.nice.com, https://www.facebook.com/officialniceltd/, https://twitter.com/niceltd, https://www.linkedin.com/company/nice-systems/, https://en.wikipedia.org/wiki/nice ltd.",195,,,,,,
1438,0.67444533,tryg a/s,,denmark,,,,,,morten hubbe,14740000000,insurance,financial services,"agriculture, forestry, and fishing",,,23,,,,,"via cadriano 36, bologna, 40127, bologna, italy",corporation
,,msci inc,"new york, ny, united states",usa,,,,1968,"4,303",henry a fernandez,40010000000,financialservices,financials,financial data & stock exchanges,1690000000,"https://www.msci.com, https://en.wikipedia.org/wiki/msci",500,,,,,,
308,0.6744832,enel spa,"rome, rm, italy",italy,,,,,"66,279",francesco starace,70150000000,"electricity, utilitycompanies, energy",utilities,utilitiesdiversified,,https://www.enel.com,5,,,,,"viale regina margherita 137, roma, 00198, roma, italy",corporation
307,0.6744832,kone oyj,"espoo, finland",finland,,,,,"62,720",henrik ehrnrooth msc econ,27290000000,"engineering, professionalservices",industries,specialty industrial machinery,,https://www.kone.com,50,,,,,,
,,acea spa,,italy,,,,,,,2970000000,"utilitycompanies, energy, oilgas, electricity",utilities,"transportation, communications, electric, gas, and sanitary services",,,13,,,,,"piazzale ostiense 2, roma, 00154, roma, italy",corporation
,,hays plc,,uk,,,,,,,2300000000,"staffingemploymentservices, professionalservices",industries,,,,1,,,,,,
,,jet2 plc,,uk,,,,,,,2560000000,"airlines, travel, transportation",industries,,,,11,,,,,,
,,relx plc,"london, united kingdom",united kingdom,,,,1993,"33,500",erik engstrom,58530000000,,communication services,publishing,7.244 billion (2021),"https://www.relx.com, https://twitter.com/relxgrouphq, https://www.linkedin.com/company/relx-group, https://en.wikipedia.org/wiki/relx",28,,,,,,
306,0.6744832,snam spa,"san donato milanese, mi, italy",italy,,,,,"3,388",marco alvera,19270000000,"energy, infrastructure",utilities,utilitiesregulated gas,,https://www.snam.it,5,,,,,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",corporation
,,victrex,,uk,,,,,,,1820000000,chemicals,basic materials,,,,19,,,,,,
383,0.67448074,richter gedeon vegyeszeti gyar nyilvanosan mukodo,,hungary,,,,,,,4080000000,"pharmaceuticals, biotech",healthcare,,,,19,,,,,,
305,0.6744832,ambu a/s,,denmark,,,,,,,3530000000,medicaldevices,healthcare,,,,13,,,,,,
942,0.67446876,mowi asa,,norway,,,,,,,8050000000,food,consumer defensive,,,,15,,,,,,
303,0.6744832,geox spa,,italy,,,,,,,220000000,"footwear, clothing",,manufacturing,,,0,,,,,"via feltrina centro 16, montebelluna, 31044, treviso, italy",corporation
,,lenovo italy srl,,hong kong,,,,,,,9500000000,"tech, techhardware, electronics",,manufacturing,,,0,,,,,"via san bovio 3, segrate, 20054, milano, italy",corporation
302,0.6744832,ryanair holdings plc,"swords, ireland",ireland,,,,28 november 1984,"17,000",michael o'leary,19780000000,"airlines, travel, transportation",industries,airlines,1.636 billion (2021),"https://www.ryanair.com, https://twitter.com/ryanair, https://www.linkedin.com/company/ryanair, https://en.wikipedia.org/wiki/ryanair",75,,,,,,
,,cnooc limited,"central, hong kong",hong kong,,,,august 1999,"18,151",keqiang xu,62990000000,"oilgas, energy",energy,oil & gas e&p,,"https://www.cnoocltd.com, https://en.wikipedia.org/wiki/cnooc limited",1,,,,,,
,,keysight technologies inc,"santa rosa, ca, united states",usa,,,,2014,"14,300",ronald s nersesian,31710000000,"software, tech",technology,scientific & technical instruments,4300000000,"https://www.keysight.com, https://www.facebook.com/keysight, https://twitter.com/keysight, https://www.linkedin.com/company/keysight-technologies, https://en.wikipedia.org/wiki/keysight",177,,,,,,
,,palantir technologies inc,"denver, co, united states",usa,,,,2003,"2,920",alexander c karp,24910000000,"software, tech",technology,softwareinfrastructure,us$1.541 billion (fye 31 dec. 2021),"https://www.palantir.com, https://www.facebook.com/palantir, https://twitter.com/palantirtech, https://www.linkedin.com/company/palantir-technologies, https://en.wikipedia.org/wiki/palantir technologies",7,,,,,,
,,zoominfo technologies inc,"vancouver, wa, united states",usa,,,,2007,"2,742",henry l schuck,21230000000,"software, tech",technology,softwareapplication,476000000,"https://www.zoominfo.com, https://www.facebook.com/zoominformation, https://twitter.com/zoominfo, https://www.linkedin.com/company/zoominfo, https://en.wikipedia.org/wiki/zoominfo",28,,,,,,
