Cluster ID,Link Score,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
,,enel spa,"rome, rm, italy",italy,,,,,"66,279",francesco starace,70150000000,,utilities,utilitiesdiversified,,https://www.enel.com,,,,,,"viale regina margherita 137, roma, 00198, roma, italy",corporation
,,eni spa,"rome, rm, italy",italy,,,,10 february 1953,"31,495",claudio descalzi,52000000000,,energy,oil & gas integrated,44 billion (2020),"https://www.eni.com, https://www.facebook.com/eniitalia, https://twitter.com/eni, https://www.linkedin.com/company/eni/, https://en.wikipedia.org/wiki/eni",,,,,,"piazzale enrico mattei 1, roma, 00144, roma, italy",corporation
436,0.67444026,medtronic italia spa,"dublin, ireland",ireland,,,,2001,"90,000",geoffrey straub martha,151060000000,,healthcare,wholesale trade,30800000000,"https://www.medtronic.com, https://en.wikipedia.org/wiki/mazor robotics",,,,,,"via varesina 162, milano, 20156, milano, italy",corporation
200,0.6744688,shenzhou international group holdings ltd,"kowloon, hong kong",hong kong,,,,,"94,400",guanlin huang,19500000000,,consumer discretionary,textile manufacturing,,https://www.shenzhouintl.com,,,,,,"via alessandro manzoni 38, milano, 20121, milano, italy",corporation
,,volvo car italia spa,"gothenburg, sweden",sweden,,,,,"92,144",martin lundstedt msc,38130000000,,industrials,retail trade,,https://www.volvogroup.com,,,,,,"via enrico mattei 66, bologna, 40138, bologna, italy",corporation
307,0.67446566,nio limited,"shanghai, china",china,,,,november 2014,"7,763",william li,35860000000,,consumer discretionary,services,cn16.258 billion (2020),"https://www.nio.com, https://www.facebook.com/nioglobal/, https://twitter.com/nioglobal, https://www.linkedin.com/company/nio%e8%94%9a%e6%9d%a5/, https://en.wikipedia.org/wiki/nio  car company ",,,,,,"via corsica 10/12, brescia, 25125, brescia, italy",foreign company
416,0.6744509,london stock exchange group plc,"london, united kingdom",united kingdom,,,,23 june 2007,"24,158",david a schwimmer,53330000000,,financials,services," 6,502 million (2021)","https://www.lseg.com, https://www.linkedin.com/company/10426432/, https://en.wikipedia.org/wiki/london stock exchange group",,,,,,"via giovanni battista pirelli 19, milano, 20124, milano, italy",corporation
88,0.6744761,scm group spa,"chicago, il, united states",united states,,,,1848,"3,480",terrence a duffy,87170000000,,financials,manufacturing,4883000000,"https://www.cmegroup.com, https://en.wikipedia.org/wiki/cme group",,,,,,"via emilia 69/71/77, rimini, 47921, rimini, italy",corporation
385,0.6744574,banco bradesco sa,"osasco, sp, brazil",brazil,,,,"march 10, 1943","85,264",octavio de lazari jr junior,46710000000,,financials,"finance, insurance, and real estate",74000000000,"https://banco.bradesco, https://en.wikipedia.org/wiki/banco bradesco",,,,,,"via massaua 6, milano, 20146, milano, italy",corporation
,,grimaldi group spa,"rosebery, nsw, australia",australia,,,,1989,941,gregory leith goodman,31640000000,,real estate,"transportation, communications, electric, gas, and sanitary services","a$1,510,900,000 at 2020-06-30","https://www.goodman.com, https://en.wikipedia.org/wiki/goodman group",,,,,,"via marchese campodisola 13, napoli, 80133, napoli, italy",corporation
219,0.67446846,kerry group plc,"tralee, ireland",ireland,,,,,"22,000",edmond scanlon,19740000000,,consumer staples,packaged foods,,https://www.kerrygroup.com,,,,,,"via piave 1, altavilla vicentina, 36077, vicenza, italy",corporation
214,0.6744686,compass group plc,"chertsey, united kingdom",united kingdom,,,,1941,"480,000",dominic blakemore,37730000000,,consumer discretionary,restaurants,17.908 billion (2021),"https://www.compass-group.com, https://www.linkedin.com/company/compass-group, https://en.wikipedia.org/wiki/compass group",,,,,,"foro buonaparte 10, milano, 20121, milano, italy",corporation
94,0.6744754,erg power generation spa,"shenzhen, china",china,,,,,"18,248",,19250000000,,utilities,utilitiesindependent power producers,,https://www.cgnp.com.cn,,,,,,"via de marini 1, genova, 16149, genova, italy",corporation
449,0.6744056,arcelormittal commercial italy srl,"luxembourg city, luxembourg",luxembourg,,,,,"158,000",aditya mittal,34660000000,,basic materials,wholesale trade,,https://corporate.arcelormittal.com,,,,,,"zona industriale snc, luogosano, 83040, avellino, italy",corporation
,,mega financial holding co ltd,"taipei, taiwan",taiwan,,,,,"9,594",,20210000000,,financials,manufacturing,,https://www.megaholdings.com.tw,,,,,,"via bresciani 16, gazoldo degli ippoliti, 46040, mantova, italy",corporation
140,0.6744709,o'reilly automotive inc,"springfield, mo, united states",united states,,,,"december 2, 1957","82,852",gregory d johnson,48140000000,,consumer discretionary,specialty retail,us$ 11.60 billion (2020)| us$ 10.15 billion (2019) us$ 9.54 billion (2018),"https://www.oreillyauto.com, https://www.facebook.com/oreillyautoparts, https://twitter.com/oreillyauto, https://www.linkedin.com/company/30967, https://en.wikipedia.org/wiki/o%27reilly auto parts",,,,,,"viale luca gaurico 187, roma, 00143, roma, italy",corporation
