Cluster ID,Link Score,name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
1176,0.67448217,bp plc,"london, united kingdom",united kingdom,,,,14 april 1909 as the anglo-persian oil company,"60,000",bernard looney,96240000000,,energy,oil & gas integrated,164190000000,"https://www.bp.com, https://www.facebook.com/bpinindia/, https://twitter.com/bp plc, https://www.linkedin.com/company/bp/, https://en.wikipedia.org/wiki/bp",,,,,,,
1478,0.6744632,open joint stock company omz,"moscow, russia",russia,,,,,,igor y zhilkin,47150000000,,industries,specialty industrial machinery,,https://www.omz.ru,,,,,,,
1035,0.6744832,acea spa,,italy,,,,,,,,,utilities,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazzale ostiense 2, roma, 00154, roma, italy",corporation
,,public joint stock oil company bashneft,"moscow, russia",russia,,,,,,,24020000000,,energy,gold,,"https://www.polyus.com, https://www.facebook.com/pao.polyus/, https://twitter.com/pao polyus",,,,,,,
941,0.6744835,perrigo company,,ireland,,,,,,,,,healthcare,wholesale trade,,,,,,,,"piazza della vittoria 10, genova, 16121, genova, italy",corporation
,,altarea sca,,france,,,,,,,,,real estate,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"via alberto nassetti pal.alfa snc, fiumicino, 00054, roma, italy",corporation
,,pirelli tyre spa,,italy,,,,,,,,,consumer cyclical,manufacturing,,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
,,smurfit kappa italia spa,,ireland,,,,,,anthony smurfit,,,consumer cyclical,manufacturing,,,,,,,,"strada serravalle 65, novi ligure, 15067, alessandria, italy",corporation
14,0.67448515,swire pacific,"shanghai, china",hong kong,,,,,"110,940",,31040000000,,industries,insurancelife,,https://www.cpic.com.cn,,,,,,,
1349,0.67447126,cooperativa esercenti farmacia soc coop a rl,,czech republic,,,,,,daniel benes,,,utilities,wholesale trade,,,,,,,,"via achille grandi 18, brescia, 25125, brescia, italy",cooperative
530,0.6744843,united microelectronics corporation,"hsinchu city, taiwan",taiwan,,,,,"19,500",jean-marc chery,23350000000,,technology,semiconductors,,"https://www.umc.com, https://www.linkedin.com/company/united-microelectronics-corporation-umc-",,,,,,,
1287,0.67447376,national bank of greece,"montreal, qc, canada",greece,,,,november 1979,"27,804",laurent ferreira,26290000000,,financials,banks,c$8.93 billion (2021),"https://www.nbc.ca, https://www.facebook.com/nationalbanknetworks, https://twitter.com/nationalbank/, https://www.linkedin.com/company/national-bank-of-canada/, https://en.wikipedia.org/wiki/national bank of canada",,,,,,,
1239,0.6744763,bank of ireland group,"beijing, china",ireland,,,,,"309,084",,141220000000,,financials,banks,,https://www.boc.cn,,,,,,,
945,0.6744835,pirelli & c spa,,italy,,,,,,,,,consumer cyclical,"finance, insurance, and real estate",,,,,,,,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",corporation
368,0.6744846,simon property group inc,"indianapolis, in, united states",united states,,,,1993,"2,400",david e simon,43690000000,,real estate,reitretail,4609000000,"https://www.simon.com, https://www.facebook.com/simonpropertygroup, https://twitter.com/simonmalls, https://www.linkedin.com/company/165978, https://en.wikipedia.org/wiki/simon property group",,,,,,,
,,rete ferroviaria italiana spa,,spain,,,,,,ignacio madridejos fernandez,,,industries,"transportation, communications, electric, gas, and sanitary services",,,,,,,,"piazza della croce rossa 1, roma, 00161, roma, italy",corporation
1379,0.67447,templeton emerging markets investment trust plc,"london, united kingdom",united kingdom,,,,1982,"50,000",gregory clarence case,73330000000,,financials,insurance brokers,us$10 billion (8 billion as of 2017),"https://www.aon.com, https://www.facebook.com/aonplc, https://twitter.com/aon plc, https://www.linkedin.com/company/aon, https://en.wikipedia.org/wiki/aon  company ",,,,,,,
199,0.67448515,johnson matthey,"cork, ireland",uk,,,,1885,"101,000",george r oliver,48150000000,,industrials,engineering & construction,31400000000,"https://www.johnsoncontrols.com, https://en.wikipedia.org/wiki/johnson controls",,,,,,,
1223,0.67447704,will semiconductor co ltd,"shanghai, china",netherlands,,,,,"3,291",kurt sievers,27240000000,,technology,semiconductors,,https://www.willsemi.com,,,,,,,
1279,0.6744741,ww grainger inc,"lake forest, il, united states",united states,,,,1927,"22,700",donald g macpherson,27330000000,,real estate,industrial distribution,11800000000,"https://www.grainger.com, https://www.facebook.com/grainger, https://twitter.com/grainger, https://www.linkedin.com/company/w.w.-grainger, https://en.wikipedia.org/wiki/grainger  w.w.  inc.",,,,,,,
,,tietoevry corporation,"calgary, ab, canada",finland,,,,,"7,017",francois lionel poirier,56770000000,,technology,"transportation, communications, electric, gas, and sanitary services",,"https://www.tcenergy.com, https://www.facebook.com/tcenergycorporation/, https://twitter.com/tcenergy, https://www.linkedin.com/company/tcenergy/about/",,,,,,"lungadige galtarossa 8, verona, 37133, verona, italy",corporation
467,0.67448443,deutsche post ag,"bonn, germany",germany,,,,,"548,042",frank appel,59800000000,,industries,integrated freight & logistics,,https://www.dpdhl.com,,,,,,,
1278,0.6744741,uno holding srl,,switzerland,,,,,,,,,technology,"finance, insurance, and real estate",,,,,,,,"via caldera 21, milano, 20153, milano, italy",corporation
1213,0.67447764,nordic entertainment group ab publ,"central, hong kong",sweden,,,,,"17,088",,25170000000,,consumer discretionary,resorts & casinos,,https://www.galaxyentertainment.com,,,,,,,
882,0.67448366,edison spa,"rosemead, ca, united states",united states,,,,1886,"13,003",pej pizarro,27670000000,,utilities,utilitiesregulated electric,$12.6 billion (2013)12.4%,"https://www.edison.com, https://www.facebook.com/sce, https://twitter.com/edisonintl, https://www.linkedin.com/company/edison-international, https://en.wikipedia.org/wiki/edison int%27l",,,,,,"foro buonaparte 31, milano, 20121, milano, italy",corporation
493,0.6744844,sensata technologies holding,"round rock, tx, united states",united states,,,,"september 7, 2016","133,000",michael saul dell,38160000000,,technology,computer hardware,94224000000,"https://www.delltechnologies.com, https://www.facebook.com/delltechnologies/, https://twitter.com/delltechcapital, https://www.linkedin.com/company/delltechnologiescapital, https://en.wikipedia.org/wiki/dell technologies",,,,,,,
394,0.67448455,yara international asa,"aurora, on, canada",norway,,,,1957,"158,000",seetarama swamy kotagiri,19360000000,,consumer discretionary,wholesale trade,40820000000,"https://www.magna.com, https://www.facebook.com/magnainternational, https://twitter.com/magnaint, https://www.linkedin.com/company/magna-international, https://en.wikipedia.org/wiki/magna international",,,,,,"piazza john fitzgerald kennedy 3, ravenna, 48121, ravenna, italy",corporation
,,seb sa,"rio de janeiro, rj, brazil",france,,,,3 october 1953,"46,416",joaquim silva e luna,98370000000,,energy,oil & gas integrated,76600000000,"https://petrobras.com.br/pt, https://en.wikipedia.org/wiki/petrobras",,,,,,,
678,0.674484,phoenix group holdings,"beijing, china",uk,,,,,"44,065",xuping chen,31980000000,,real estate,real estatedevelopment,,https://www.longfor.com,,,,,,,
1230,0.67447674,hicl infrastructure,"hamilton, bermuda",uk,,,,"january 14, 2008",,,19700000000,,utilities,utilitiesdiversified,3540000000,"https://www.bip.brookfield.com, https://www.linkedin.com/company/brookfield-infrastructure-partners, https://en.wikipedia.org/wiki/brookfield infrastructure partners",,,,,,,
