rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
49,fritz draxlmaier gmbh & co kg,"4,791.5","68,553",draxkmaier,1958,private,2,yes,yes,automotive,vilsbiburg,by,www.draexlmaier.com/
50,voith gmbh & co kgaa,"4,717.1","19,627",voith,1867,private,6,no,no,industrial manufacturing,heidenheim,bw,www.voith.com
51,miele & cie kg,"4,694.3","20,098","miele, zinkann",1899,private,4,yes,no,consumer products,gutersloh,nw,www.miele.de
52,mannhummel gmbh,"4,589.6","20,535","mann, hummel",1941,private,3,no,yes,industrial manufacturing,ludwigsburg,bw,www.mann-hummel.de
53,egon oldendorff gmbh & co kg,"4,484.7","1,460",oldendorff,1921,private,2,yes,no,transportation and logistics,lubeck,sh,www.oldendorff.com
54,krones ag,"4,419.8","16,545",kronseder,1951,public,2,no,no,industrial manufacturing,neutraubling,by,www.krones.com
55,claas group,"4,358.6","11,132",claas,1913,private,3,yes,no,industrial manufacturing,harsewinkel,nw,www.claas.com
56,muller holding ltd & co kg,"4,342.6","34,000",muller,1953,private,2,yes,yes,consumer products,ulm,bw,www.mueller.de
57,jungheinrich ag,"4,339.8","17,877","wolf, lange",1953,public,2,no,no,industrial manufacturing,hamburg,hh,www.jungheinrich.com
58,stihl holding ag & co kg,"4,339.4","17,122",stihl,1926,private,3,yes,yes,consumer products,waiblingen,bw,www.stihl.de
59,diehl verwaltungs-stiftung,"4,240.7","17,298",diehl,1902,private,4,no,no,industrial manufacturing,nurnberg,by,www.diehl.com
60,der kreis einkaufsgesellschaft fur kuche und wohnen mbh & co kg,"4,224.9",180,schaible,1979,private,1,yes,no,retail,leonberg,bw,www.derkreis.de
61,gauselmann group,"4,125.3","13,395",gauselmann,1957,private,3,yes,no,industrial manufacturing,espelkamp,nw,www.gauselmann.de
62,norma discounter group,"4,064.6","15,000",roth,1964,public,3,no,no,industrial manufacturing,nurnberg,by,www.norma-online.de
63,wilh werhahn kg,"4,060.5","10,161","werhahn, goder",1841,private,5,yes,yes,industrial manufacturing,neu ,nw,www.werhahn.de
