name,address,nation,hhid,industry,sic_code,type,est_of_ownership
lidl italia srl,"via augusto ruffo 36, arcole, 37040, verona, italy",it02275030233,h-it0061825417,wholesale trade,whol non durable goods  5199 ,corporation,1991
webuild spa,"centro direzionale milanofiori snc, rozzano, 20089, milano, italy",it02895590962,h-it0008505748,construction,heavy construction  1629 ,corporation,1959
atlantia spa,"piazza di san silvestro 8, roma, 00187, roma, italy",it03731380261,h-it0072354208,"finance, insurance, and real estate",holding company  6719 ,corporation,1950
salini costruttori spa,"via del lauro 3, milano, 20121, milano, italy",it00892101007,h-it0011203706,construction,operative builders  1531 ,corporation,1972
amazon web services emea sarl,"viale monte grappa 3/5, milano, 20124, milano, italy",it10119840964,h-it0058458530,services,computer related services  7379 ,foreign company,2017
allianz spa,"piazza tre torri 3, milano, 20145, milano, italy",it05032630963,h-it0007923414,"finance, insurance, and real estate",misc business credit institutions  6159 ,corporation,1911
mediolanum vita spa,"via francesco sforza, basiglio, 20079, milano, italy",it01749470157,h-it0065539494,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,1972
engie italia spa,"viale fulvio testi 280, milano, 20126, milano, italy",it06289781004,h-it0061508462,services,engineering services  8711 ,corporation,2000
enel global trading spa,"viale regina margherita 125, roma, 00198, roma, italy",it05918271007,h-it0067042627,wholesale trade,whol petroleum products  5172 ,corporation,1999
hera trading srl,"via molino rosso 8, imola, 40026, bologna, italy",it02060500390,h-it0074565141,"transportation, communications, electric, gas, and sanitary services",natural gas distribution  4924 ,corporation,2001
alleanza assicurazioni spa,"piazza fidia 1, milano, 20159, milano, italy",it10908160012,h-it0037371592,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,2009
marco polo international italy srl,"via san primo 4, milano, 20121, milano, italy",it10449990968,h-it0062549707,"finance, insurance, and real estate",holding company  6719 ,corporation,2018
fincantieri spa,"via genova 1, trieste, 34121, trieste, italy",it00629440322,h-it0009238654,manufacturing,shipbuilding/repairing  3731 ,corporation,1959
eurospin italia spa,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",it02536510239,h-it0075267381,"finance, insurance, and real estate",holding company  6719 ,corporation,1994
e-distribuzione spa,"via carlo felice 35, sassari, 07100, sassari, italy",it05779711000,h-it0072864532,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
saipem spa,"via martiri di cefalonia 67, san donato milanese, 20097, milano, italy",it00825790157,h-it0012466115,construction,building equipment installation  1796 ,corporation,1969
enel produzione spa,"viale regina margherita 125, roma, 00198, roma, italy",it05617841001,h-it0012768553,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1962
guccio gucci spa,"via don lorenzo perosi 6, scandicci, 50018, firenze, italy",it04294710480,h-it0049515195,manufacturing,mfg luggage  3161 ,corporation,1939
pirelli & c spa,"viale piero e alberto pirelli 25, milano, 20126, milano, italy",it00860340157,h-it0049412493,"finance, insurance, and real estate",holding company  6719 ,corporation,1883
unicredit allianz vita spa,"piazza tre torri 3, milano, 20145, milano, italy",it11931360157,h-it0018259456,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1995
acquirente unico spa,"via guidubaldo del monte 45, roma, 00197, roma, italy",it05877611003,h-it0067043127,"transportation, communications, electric, gas, and sanitary services",electric services  4911 ,corporation,1999
volkswagen group italia spa,"viale gerard richard gumpert 1, verona, 37137, verona, italy",it01779120235,h-it0010567739,retail trade,ret new/used automobiles  5511 ,corporation,1984
versalis spa,"piazza marcello boldrini 1, san donato milanese, 20097, milano, italy",it01768800748,h-it0064072819,manufacturing,mfg chemical preparations  2899 ,corporation,1989
a menarini industrie farmaceutiche riunite srl,"via dei sette santi 3, firenze, 50131, firenze, italy",it00395270481,h-it0022029265,manufacturing,mfg pharmaceutical preparations  2834 ,corporation,1886
barilla holding srl,"via mantova 166, parma, 43122, parma, italy",it00489540344,h-it0029320852,"finance, insurance, and real estate",holding company  6719 ,corporation,1978
guido m barilla e flli sapa,"via mantova 166, parma, 43122, parma, italy",it01736530344,h-it0064643417,"finance, insurance, and real estate",holding company  6719 ,corporation,1984
cremonini spa,"via modena 53, castelvetro di modena, 41014, modena, italy",it00162810360,h-it0013386905,"finance, insurance, and real estate",holding company  6719 ,corporation,1966
cremofin srl,"via modena 53, castelvetro di modena, 41014, modena, italy",it01598040366,h-it0075279762,"finance, insurance, and real estate",holding company  6719 ,corporation,1985
societa' europea veicoli leggeri sevel spa,"viale avvocato giovanni agnelli 10, atessa, 66041, chieti, italy",it00297220691,h-it0011629053,manufacturing,mfg motor vehicle/car bodies  3711 ,corporation,1978
ferrari - societa'per azioni esercizio fabbriche automobili e corse,"via abetone inferiore 2, maranello, 41053, modena, italy",it00159560366,h-it0010782370,manufacturing,mfg motor vehicle/car bodies  3711 ,corporation,1947
credit agricole vita spa,"strada dell'universita' 1, parma, 43121, parma, italy",it01966110346,h-it0069830649,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1988
sonatrach raffineria italiana srl,"contrada marcellino c.p. 88 snc, augusta, 96011, siracusa, italy",it10410680960,h-it0062076590,manufacturing,petroleum refiner  2911 ,corporation,2018
coop alleanza 30 soc coop,"via villanova 29/7, castenaso, 40055, bologna, italy",it03503411203,h-it0048664421,retail trade,ret groceries  5411 ,corporation,1923
chimet spa,"via dei laghi 31/33, civitella in val di chiana, 52041, arezzo, italy",it00155440514,h-it0010938249,manufacturing,primary nonferrous metal producer  3339 ,corporation,1974
riva forni elettrici spa,"viale certosa 249, milano, 20151, milano, italy",it07969220966,h-it0007097441,"finance, insurance, and real estate",holding company  6719 ,corporation,2012
nuovo pig holding spa,"via felice matteucci 2, firenze, 50127, firenze, italy",it00395360480,h-it0008020531,"finance, insurance, and real estate",holding company  6719 ,corporation,1954
zeor finanziaria spa,"via di porta pinciana 4, roma, 00187, roma, italy",it05678591008,h-it0071035370,"finance, insurance, and real estate",holding company  6719 ,corporation,1999
autostrade per l'italia spa,"via alberto bergamini 50, roma, 00159, roma, italy",it07516911000,h-it0072798300,"transportation, communications, electric, gas, and sanitary services",transportation services  4789 ,corporation,1950
trenitalia spa,"piazza della croce rossa 1, roma, 00161, roma, italy",it05403151003,h-it0008914621,"transportation, communications, electric, gas, and sanitary services",railroad line-haul operator  4011 ,corporation,1905
fideuram vita spa,"via ennio quirino visconti 80, roma, 00193, roma, italy",it10830461009,h-it0003516644,"finance, insurance, and real estate",life insurance carrier  6311 ,corporation,1980
