name,industry,sector,headquarters,founded
impresa pizzarotti,industrials,heavy construction,parma,1910
indesit company,consumer goods,durable household products,fabriano,1975
innocenti,consumer goods,automobiles,milan,1947
intermarine,industrials,shipbuilding,sarzana,1970
intesa sanpaolo,financials,banks,turin,2007
iride bicycles,consumer goods,recreational products,venice,1919
iso,consumer goods,automobiles,bresso,1953
isotta fraschini,consumer goods,automobiles,milan,1900
ita airways,consumer services,airlines,rome,2020
italcementi,industrials,building materials & fixtures,bergamo,1864
italdesign giugiaro,consumer goods,automobiles,moncalieri,1968
italjet,consumer goods,automobiles,castel san pietro terme,1959
iveco,industrials,commercial vehicles & trucks,turin,1975
kappa,consumer goods,clothing & accessories,turin,1916
kiton,consumer goods,clothing & accessories,naples,1956
krizia,consumer goods,clothing & accessories,milan,1954
kuota,consumer goods,recreational products,albiate,2001
la perla,consumer goods,clothing & accessories,bologna,1954
la rinascente,consumer services,broadline retailers,milan,1865
la sportiva,consumer goods,footwear,ziano di fiemme,1928
lagostina,consumer goods,durable household products,omegna,1901
lamborghini,consumer goods,automobiles,sant'agata bolognese,1963
lambretta,consumer goods,automobiles,milan,1947
lancia,consumer goods,automobiles,turin,1906
landi renzo,consumer goods,auto parts,cavriago,1954
lavazza,consumer goods,beverages,turin,1895
laverda,consumer goods,automobiles,breganze,1873
legea,consumer goods,clothing & accessories,pompei,1993
leonardo spa,industrials,aerospace & defense,rome,1948
livingston energy flight,consumer services,airlines,milan,1992
loacker,consumer goods,food products,ritten,1925
loro piana,consumer goods,clothing & accessories,quarona,1924
lotto sport italia,consumer goods,clothing & accessories,treviso,1973
luigi borrelli,consumer goods,clothing & accessories,naples,1957
luxottica,consumer goods,clothing & accessories,milan,1961
macron,consumer goods,clothing & accessories,crespellano,1971
magneti marelli,consumer goods,auto parts,corbetta,1919
magni,consumer goods,automobiles,samarate,1977
malaguti,consumer goods,automobiles,san lazzaro di savena,1930
mandarina duck,consumer goods,clothing & accessories,bologna,1977
manfrotto,consumer goods,recreational products,cassola,1972
mapei,industrials,building materials & fixtures,milan,1937
marni,consumer goods,clothing & accessories,milan,1994
martini & rossi,consumer goods,distillers & vintners,turin,1863
marzocchi,consumer goods,recreational products,bologna,1949
marzotto,consumer goods,clothing & accessories,valdagno,1836
maserati,consumer goods,automobiles,modena,1914
massimo zanetti beverage group,consumer goods,beverages,bologna,1973
max mara,consumer goods,clothing & accessories,reggio emilia,1951
md discount,consumer services,food retailers & wholesalers,gricignano di aversa,1994
mediobanca,financials,banks,milan,1946
memphis group,industrials,business support services,milan,1982
menarini,health care,pharmaceuticals,florence,1886
meridiana,consumer services,airlines,olbia,1964
miche,consumer goods,recreational products,san vendemiano,1919
milano assicurazioni,financials,property & casualty insurance,milan,1825
minarelli,consumer goods,auto parts,calderara di reno,1951
minardi,consumer goods,automobiles,faenza,1979
missoni,consumer goods,clothing & accessories,varese,1953
miu miu,consumer goods,clothing & accessories,milan,1993
mivar,consumer goods,consumer electronics,abbiategrasso,1945
moby lines,industrials,marine transportation,milan,1959
momo,consumer goods,auto parts,milan,1964
mondial,consumer goods,automobiles,manerbio,1929
moon boot,consumer goods,footwear,giavera del montello,1969
morbidelli,consumer goods,automobiles,pesaro,1960
moretti motor company,consumer goods,automobiles,turin,1925
moschino,consumer goods,clothing & accessories,milan,1983
moser cicli,consumer goods,recreational products,trento,1979
moto guzzi,consumer goods,automobiles,mandello del lario,1921
moto morini,consumer goods,automobiles,bologna,1937
moto rumi,consumer goods,automobiles,bergamo,
motobi,consumer goods,automobiles,pesaro,1949
mutti,consumer goods,food products,montechiarugolo,1899
mv agusta,consumer goods,automobiles,varese,1945
nardi,consumer goods,automobiles,turin,1932
natuzzi,consumer goods,furnishings,santeramo in colle,1959
neos,consumer services,airlines,somma lombardo,2001
new holland construction,industrials,commercial vehicles & trucks,turin,1895
nolan,consumer goods,auto parts,bergamo,1972
nordica,consumer goods,clothing & accessories,giavera del montello,1939
novarossi,consumer goods,recreational products,monticelli brusati,1984
nuova cometra,industrials,commercial rail vehicles,pace del mela,1999
nuovo banco ambrosiano,financials,banks,milan,1982
osca,consumer goods,automobiles,san lazzaro di savena,1947
officine meccaniche,industrials,commercial vehicles & trucks,milan,1918
olidata,technology,software,cesena,1982
olivetti,consumer goods,consumer electronics,ivrea,1908
omas,consumer goods,nondurable household products,bologna,1925
omp racing,consumer goods,auto parts,ronco scrivia,1973
onda mobile communication,technology,telecommunications equipment,roveredo in piano,2003
osella,consumer goods,automobiles,verolengo,1965
ostoni,consumer goods,durable household products,cormano,1958
oto melara,industrials,defense,rome,1905
oz group,consumer goods,tires,san martino di lupari,1971
pagani,consumer goods,automobiles,san cesario sul panaro,1992
pal zileri,consumer goods,clothing & accessories,vicenza,1980
panerai,consumer goods,clothing & accessories,milan,1860
panini comics,consumer services,publishing,modena,1994
parmalat,consumer goods,food products,collecchio,1961
partenavia,industrials,aerospace,arzano,1957
paton,consumer goods,automobiles,settimo milanese,1958
peg perego,consumer goods,toys,arcore,1949
perazzi,industrials,defense,brescia,1957
perfetti van melle,consumer goods,food products,lainate,2001
perini navi,industrials,shipbuilding,viareggio,1983
permasteelisa,industrials,heavy construction,vittorio veneto,1973
peroni spa,consumer goods,recreational products,gallarate,1792
persol,consumer goods,clothing & accessories,agordo,1917
perugina,consumer goods,food products,perugia,1907
piaggio aerospace,industrials,aerospace & defense,genoa,1884
piaggio,consumer goods,automobiles,pontedera,1884
pinarello,consumer goods,recreational products,treviso,1952
pininfarina,consumer goods,automobiles,cambiano,1930
pirelli,consumer goods,tires,milan,1872
pogliaghi,consumer goods,recreational products,milan,1947
police,consumer goods,clothing & accessories,venice,1983
poste air cargo,consumer services,airlines,rome,1981
poste italiane,industrials,delivery services,rome,1862
prada,consumer goods,clothing & accessories,milan,1913
prinetti & stucchi,consumer goods,recreational products,milan,1901
prysmian group,industrials,electrical components & equipment,milan,2011
rai,consumer services,broadcasting & entertainment,rome,1924
rancilio,consumer goods,durable household products,parabiago,1927
ray-ban,consumer goods,clothing & accessories,milan,1936
rcs mediagroup,consumer services,publishing,milan,1927
rifle,consumer goods,clothing & accessories,prato,1958
rizzani de eccher,industrials,heavy construction,pozzuolo del friuli,1831
sabelt,consumer goods,auto parts,turin,1972
saeco,consumer goods,durable household products,bologna,1981
safilo,consumer goods,clothing & accessories,padua,1934
salini impregilo,industrials,heavy construction,milan,2014
salvatore ferragamo spa,consumer goods,clothing & accessories,florence,1928
san pellegrino,consumer goods,beverages,san pellegrino terme,1899
saras spa,oil & gas,oil & gas exploration & production,sarroch,1962
seleco,consumer goods,consumer electronics,milan,1965
selex es,industrials,aerospace,rome,2013
sergio rossi,consumer goods,footwear,milan,1966
shy,consumer goods,clothing & accessories,venice,2001
siae microelettronica,technology,telecommunications equipment,cologno monzese,1952
siai-marchetti,industrials,aerospace,sesto calende,1915
sicom test,technology,telecommunications equipment,trieste,2003
sigma-tau,health care,pharmaceuticals,pomezia,1957
simmel difesa,industrials,defense,colleferro,1948
smeg,consumer goods,durable household products,guastalla,1948
snam,utilities,gas distribution,san donato milanese,1941
snav,industrials,marine transportation,naples,1958
societa generale immobiliare,financials,real estate holding & development,rome,1862
societa torinese automobili rapid,consumer goods,automobiles,turin,1904
soilmec,industrials,commercial vehicles & trucks,cesena,1969
somec,consumer goods,recreational products,lugo,1973
sparco,consumer goods,auto parts,volpiano,1977
spea,technology,semiconductors,volpiano,1976
suomy,consumer goods,auto parts,inverigo,1997
superga,consumer goods,footwear,turin,1911
tanfoglio,industrials,defense,gardone val trompia,1948
techint,conglomerates,-,milan,1945
technogym,consumer goods,recreational products,cesena,1983
terra modena,consumer goods,automobiles,modena,2015
tirrenia,industrials,marine transportation,naples,1936
tod's,consumer goods,clothing & accessories,sant'elpidio a mare,1920
trussardi,consumer goods,clothing & accessories,milan,1911
tuaca,consumer goods,distillers & vintners,livorno,1938
ubi banca,financials,banks,bergamo,2003
unicredit,financials,banks,porta nuova,1998
unipol,financials,banks,bologna,1963
unoaerre,consumer goods,clothing & accessories,arezzo,1926
valentino spa,consumer goods,clothing & accessories,milan,1960
versace,consumer goods,clothing & accessories,milan,1978
vespa,consumer goods,automobiles,pontedera,1946
vf venieri,industrials,commercial vehicles & trucks,lugo,1948
viberti,consumer goods,automobiles,pescara,1922
vibram,consumer goods,footwear,albizzate,1937
vignale,industrials,commercial vehicles & trucks,turin,1948
viscount,consumer goods,recreational products,mondaino,1969
vm motori,consumer goods,auto parts,cento,1947
voiello,consumer goods,food products,torre annunziata,1879
vyrus,consumer goods,automobiles,coriano,2001
webuild,industrials,heavy construction,milan,1959
wilier triestina,consumer goods,recreational products,rossano veneto,1906
yoox net-a-porter group,consumer services,clothing & accessories,milan,2015
zagato,industrials,commercial vehicles & trucks,rho,1919
zambon,health care,pharmaceuticals,bresso,1906
zamperla,consumer goods,recreational products,vicenza,1966
zanussi,consumer goods,durable household products,porde ,1916
abrakebabra,consumer services,food retailers & wholesalers,dublin,1982
abrakebabra investments,consumer services,food retailers & wholesalers,dublin,1982
accenture,industrials,business support services,dublin,1989
aer lingus,consumer services,airlines,dublin,1936
aer lingus regional,consumer services,airlines,dublin,2010
aercap,industrials,transport,dublin,2006
aircoach,consumer services,travel & tourism,dublin,1999
airtricity,utilities,alternative electricity,dublin,1997
allied irish banks,financials,banks,dublin,1966
an post,industrials,delivery services,dublin,1984
apache pizza,consumer services,food retailers & wholesalers,dublin,2006
aptiv,industrials,automotive,dublin,1994
arnotts,consumer services,broadline retailers,dublin,1843
baltimore technologies,technology,internet,dublin,1976
bank of ireland,financials,banks,dublin,1783
barry's tea,consumer goods,beverages,cork,1901
bewley's,consumer services,food retailers & wholesalers,dublin,1840
bord na mona,utilities,multiutilities,newbridge,1946
boylesports,consumer services,gambling,dundalk,1989
bt ireland,telecommunications,fixed line telecommunications,dublin,1990
bus eireann,consumer services,travel & tourism,dublin,1987
butlers chocolates,consumer goods,food products,dublin,1932
bwg foods,consumer services,food retailers & wholesalers,dublin,1963
c&c group,consumer goods,brewers,dublin,1852
central bank of ireland,financials,banks,dublin,1943
cie,consumer services,travel & tourism,dublin,1945
cityjet,consumer services,airlines,dublin,1992
communicorp,consumer services,broadcasting & entertainment,dublin,1989
covidien,health care,medical equipment,dublin,2007
crh plc,industrials,building materials & fixtures,dublin,1936
curam software,technology,software,dublin,1990
daa,consumer services,transportation services,dublin,1937
dcc plc,industrials,business support services,dublin,1976
dealz,consumer services,broadline retailers,dublin,2011
digiweb,telecommunications,fixed line telecommunications,dundalk,1997
doolittles,consumer services,food retailers & wholesalers,laghey,2001
dublin bus,consumer services,travel & tourism,dublin,1987
dunnes stores,consumer services,broadline retailers,dublin,1944
