name,industry,sector,headquarters,founded
3h biomedical,health care,biotechnology,uppsala,2004
aarhuskarlshamn,consumer goods,food products,malmo,2005
abba seafood,consumer goods,food products,gothenburg,1883
abu garcia,consumer goods,recreational products,svangsta,1921
acando,technology,software,stockholm,2001
acast,technology,software,stockholm,2014
acne studios,consumer goods,clothing & accessories,stockholm,1997
af,industrials,business support services,stockholm,1895
aga,oil & gas,exploration & production,lulea,1904
ahlens,consumer services,broadline retailers,stockholm,1899
alfa laval,industrials,industrial machinery,lund,1883
alfdex,industrials,industrial machinery,landskrona,2002
ap&t,industrials,industrial machinery,ulricehamn,1989
apoteket,health care,pharmaceuticals,stockholm,1970
aptilo networks,telecommunications,mobile telecommunications,stockholm,2001
arcam,industrials,industrial suppliers,molndal,1997
asea,industrials,diversified industrials,vasteras,1883
abb,industrials,industrial machinery,vasteras,1988
assa abloy,industrials,industrial suppliers,stockholm,1994
astra ab,health care,pharmaceuticals,sodertalje,1913
atlas copco,industrials,diversified industrials,nacka,1873
atlet,industrials,commercial vehicles & trucks,molnlycke,1958
autoliv,industrials,business support services,stockholm,1997
avalanche studios,technology,software,stockholm,2003
avanza,financials,investment services,stockholm,1999
axel johnson,conglomerates,-,stockholm,1873
axel johnson group,conglomerates,-,stockholm,1873
axfood,consumer services,food retailers & wholesalers,stockholm,1964
axis communications,technology,computer hardware,lund,1984
bae systems,industrials,defense,ornskoldsvik,2006
bahco,industrials,diversified industrials,enkoping,1886
bahnhof,telecommunications,fixed line telecommunications,stockholm,1994
ballograf,consumer goods,nondurable household products,gothenburg,1945
berg propulsion,industrials,industrial machinery,gothenburg,1912
betsson,consumer services,gambling,stockholm,1963
biacore,health care,biotechnology,uppsala,1984
billerudkorsnas,basic materials,paper,solna,2012
bindomatic,industrials,industrial suppliers,stockholm,1974
biogaia,health care,pharmaceuticals,stockholm,1990
bjorn borg,consumer goods,clothing & accessories,stockholm,2004
bofors,industrials,defense,karlskoga,1873
boghammar marin ab,industrials,commercial vehicles & trucks,lidingo,1906
boliden,basic materials,general mining,stockholm,1931
bolinder-munktell,industrials,commercial vehicles & trucks,eskilstuna,1932
bona ab,industrials,building materials & fixtures,malmo,1919
bonnier group,consumer services,broadcasting & entertainment,stockholm,1804
braathens regional aviation,consumer services,airlines,malmo,1981
bredbandsbolaget,telecommunications,fixed line telecommunications,stockholm,1998
brio,consumer goods,toys,malmo,1884
bure equity,financials,investment services,stockholm,1992
camfil,industrials,industrial machinery,stockholm,1963
carnegie investment bank,financials,investment services,stockholm,1803
casino cosmopol,consumer services,gambling,stockholm,1999
cederroth,health care,health care providers,upplands vasby,1895
cheap monday,consumer goods,clothing & accessories,stockholm,2000
clas ohlson,consumer services,home improvement retailers,insjon,1918
clavia,consumer goods,recreational products,stockholm,1983
cloetta,consumer goods,food products,stockholm,1862
columbitech,technology,software,stockholm,2000
com hem,telecommunications,fixed line telecommunications,stockholm,1983
comviq,telecommunications,fixed line telecommunications,stockholm,1981
coop norden,consumer services,food retailers & wholesalers,stockholm,2001
danir ab,financials,investment services,malmo,1986
dataphone,telecommunications,mobile telecommunications,stockholm,2001
datasaab,industrials,business support services,linkoping,1954
delaval,industrials,commercial vehicles & trucks,tumba,1883
destination gotland,consumer services,travel & tourism,visby,1998
diamyd medical,health care,biotechnology,stockholm,1994
dockstavarvet,industrials,commercial vehicles & trucks,docksta,1905
domnarvet,basic materials,iron & steel,borlange,1872
doro,technology,telecommunications equipment,malmo,1974
draim,technology,software,nacka,2003
ea dice,technology,software,stockholm,1992
elanders,industrials,business support services,molnlycke,1908
electrolux,consumer goods,durable household products,stockholm,1919
elekta,health care,health care providers,stockholm,1972
elektron,consumer goods,recreational products,gothenburg,1998
elfa international,consumer goods,furnishings,malmo,1948
ellos,consumer services,broadline retailers,boras,1947
enea ab,technology,software,kista,1968
eniro,technology,internet,stockholm,2000
epidemic sound,technology,internet,stockholm,2009
ericsson,technology,telecommunications equipment,stockholm,1876
esab,industrials,business support services,gothenburg,1904
eskilstuna energy and environment,utilities,conventional electricity,eskilstuna,1993
esselte,industrials,industrial suppliers,stockholm,1913
european spallation source,industrials,business support services,lund,2013
fagerhult group,industrials,building materials & fixtures,habo,1945
fatshark,technology,software,stockholm,2008
fjallraven,consumer goods,clothing & accessories,ornskoldsvik,1960
fkab,industrials,business support services,uddevalla,1961
foreningsbanken,financials,banks,stockholm,1992
forex bank,financials,investment services,stockholm,1927
frictional games,technology,software,helsingborg,2007
galvin green,consumer goods,clothing & accessories,vaxjo,1990
gb glace,consumer goods,food products,stockholm,1942
gekas,consumer services,broadline retailers,falkenberg,1963
getinge group,health care,medical equipment,gothenburg,1904
goinge mekaniska,industrials,heavy construction,hassleholm,1946
green cargo,industrials,delivery services,solna,2001
grimaldi industri,conglomerates,-,stockholm,1970
gunnebo group,industrials,business support services,gothenburg,1889
h&m,consumer services,apparel retailers,stockholm,1947
haglofs,consumer goods,recreational products,torsang,1914
hagstrom,consumer goods,recreational products,alvdalen,1925
haldex,consumer goods,auto parts,landskrona,1887
hallberg-rassy,consumer goods,recreational products,ellos,1943
handelsbanken,financials,banks,stockholm,1871
hasselblad,consumer goods,recreational products,gothenburg,1841
hastens,consumer services,specialty retailers,koping,1852
hestra,consumer goods,clothing & accessories,hestra,1936
hexagon ab,industrials,business support services,stockholm,1992
hindustrial networks,telecommunications,fixed line telecommunications,halmstad,1988
hoganas ab,basic materials,iron & steel,hoganas,1797
holmen,basic materials,paper,stockholm,1875
husaberg,consumer goods,automobiles,mattighofen,1988
husqvarna group,industrials,industrial suppliers,stockholm,1689
hydrauliska industri ab,industrials,commercial vehicles & trucks,hudiksvall,1944
iar systems,technology,software,uppsala,1983
ica gruppen,consumer services,broadline retailers,stockholm,1938
ifs ab,technology,software,linkoping,1983
ikano bank,financials,banks,malmo,1995
imint image intelligence ab,technology,software,uppsala,2007
infranord,industrials,railroads,solna,2010
ingate systems,technology,software,stockholm,2001
intertex,technology,computer hardware,stockholm,2001
investment ab latour,financials,investment services,gothenburg,1984
investment ab oresund,financials,investment services,stockholm,1961
investor ab,financials,investment services,stockholm,1916
isadora,consumer goods,personal products,malmo,1983
izettle,technology,software,stockholm,2011
jlindeberg,consumer goods,clothing & accessories,stockholm,1997
jeeves,technology,software,stockholm,1992
jernhusen,industrials,railroads,stockholm,2001
jofa,consumer goods,recreational products,malung,1926
jonsereds fabrikers ab,industrials,industrial machinery,jonsered,1832
kinnevik ab,financials,investment services,stockholm,1936
klarna,consumer services,broadline retailers,stockholm,2005
kockunaval solutions,industrials,commercial vehicles & trucks,malmo,1840
koenigsegg,consumer goods,automobiles,angelholm,1994
kooperativa forbundet,consumer services,consumer co-operatives,stockholm,1899
kopparbergs brewery,consumer goods,brewers,kopparberg,1882
kosta glasbruk,industrials,building materials & fixtures,kosta,1742
kronleins,consumer goods,brewers,halmstad,1836
kungsornen,consumer goods,food products,jarna,1929
l e lundbergforetagen,financials,investment services,stockholm,1944
lansforsakringar,financials,full line insurance,stockholm,1801
lansforsakringar bank,financials,banks,stockholm,1996
lantmannen,consumer goods,farming & fishing,stockholm,2001
leovegas,consumer services,gambling,stockholm,2011
lindex,consumer services,apparel retailers,gothenburg,1954
linjeflyg,consumer services,airlines,stockholm,1957
lkab,basic materials,general mining,lulea,1890
loomis,industrials,business support services,stockholm,1997
lundin petroleum,oil & gas,exploration & production,stockholm,2001
luxor ab,consumer goods,consumer electronics,motala,1923
machinegames,technology,software,uppsala,2009
malarenergi,utilities,conventional electricity,vasteras,1861
maratone studios,consumer services,broadcasting & entertainment,stockholm,2001
massive entertainment,technology,software,malmo,1997
mecel,technology,software,gothenburg,1982
meda ab,health care,pharmaceuticals,solna,1954
micromy,basic materials,specialty chemicals,taby,2009
modern times group,consumer services,broadcasting & entertainment,stockholm,1987
mojang,technology,software,stockholm,2009
molnlycke health care,health care,medical equipment,gothenburg,1849
monark,consumer goods,recreational products,vansbro,1908
mysql ab,technology,software,uppsala,1995
najad yachts,consumer goods,recreational products,henan,1971
nanoradio,technology,semiconductors,kista,2004
nasdaq nordic,financials,investment services,stockholm,2003
ncc ab,industrials,heavy construction,solna,1988
neogames,consumer services,publishing,gothenburg,2006
neonode,telecommunications,computer hardware,stockholm,2001
nextjet,consumer services,airlines,stockholm,2002
nobia,consumer goods,durable household products,stockholm,1996
nobina,consumer services,travel & tourism,stockholm,1999
nohab,industrials,diversified industrials,trollhattan,1916
nordiska kompaniet,consumer services,broadline retailers,stockholm,1864
nordstjernan,conglomerates,-,stockholm,1890
northstar,industrials,general industries,stockholm,2000
nudie jeans,consumer goods,clothing & accessories,gothenburg,2001
nyby bruk,basic materials,iron & steel,torshalla,1829
