industry,founded,revenue,name,location
"it, internet, software & services",1977,41,oracle,"redwood shores, california"
banking,1841,57,sberbank,"moscow, russia"
banking and financial services,1817,26,bank of montreal,"montreal, canada"
materials,1942,54,vale,"rio de janeiro, brazil"
utilities,1955,99,edf,"paris, france"
drugs & biotechnology,1983,39,thermo fisher scientific,"waltham, massachusetts"
banking and financial services,1894,73,credit agricole,"montrouge, france"
"engineering, manufacturing",1970,61,airbus,"leiden, netherlands"
retail and wholesale,1983,210,costco wholesale,"issaquah, washington"
technology hardware & equipment,1974,214,hon hai precision,"new taipei, taiwan"
packaged goods,1929,62,unilever,"london, united kingdom"
media,1993,51,charter communications,"stamford, connecticut"
banking,2002,35,sumitomo mitsui financial,"tokyo, japan"
"construction, oil & gas operations, mining and chemicals",1875,46,conocophillips,"houston, texas"
drugs & biotechnology,2000,46,glaxosmithkline,"london, united kingdom"
banking,2007,47,intesa sanpaolo,"turin, italy"
banking and financial services,1887,47,manulife,"toronto, canada"
banking,1929,23,us bancorp,"minneapolis, minnesota"
chemicals,1865,92,basf,"ludwigshafen am rhein, germany"
oil & gas operations,1999,37,cnooc,"hong kong, hong kong"
health care equipment & services,1888,44,abbott laboratories,"chicago, illinois"
utilities,1992,46,iberdrola,"bilbao, spain"
materials,2004,52,china shenhua energy,"beijing, china"
banking,1944,36,itau unibanco holding,"sao paulo, brazil"
"engineering, manufacturing",1925,51,caterpillar,"deerfield, illinois"
trading companies,1947,108,mitsui,"tokyo, japan"
trading companies,1858,108,itochu,"tokyo, japan"
banking and financial services,1971,19,charles schwab,"san francisco, california"
banking,1872,23,truist financial,"charlotte, north carolina"
"construction, oil & gas operations, mining and chemicals",1949,37,enbridge,"calgary, canada"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1910,91,hitachi,"tokyo, japan"
telecommunications services,1984,49,kddi,"tokyo, japan"
consumer durables,1967,102,hyundai motor,"seoul, south korea"
banking,1987,57,china citic bank,"chaoyang, china"
banking and financial services,1958,25,visa,"san francisco, california"
retail and wholesale,1902,106,target,"minneapolis, minnesota"
banking,1999,42,bbva-banco bilbao vizcaya,"madrid, spain"
consumer durables,2003,53,tesla,"austin, texas"
capital goods,1837,44,deere & company,"moline, illinois"
banking,1994,22,hdfc bank,"mumbai, india"
banking and financial services,1896,30,barclays,"london, united kingdom"
insurance,1880,84,munich re,"munich, germany"
insurance,1871,103,japan post holdings,"tokyo, japan"
retail and wholesale,1901,135,walgreens,"deerfield, illinois"
"engineering, manufacturing",1984,30,danaher,"washington, district of columbia"
insurance,1831,102,generali group,"trieste, italy"
transportation,2009,62,mller-maersk,"copenhagen, denmark"
retailing,1921,96,lowe's,"mooresville, north carolina"
transportation and logistics,1971,91,fedex,"memphis, tennessee"
transportation,1995,96,deutsche post,"bonn, germany"
banking and financial services,1845,19,pnc financial services,"pittsburgh, pennsylvania"
semiconductors,1961,28,broadcom,"san jose, california"
oil & gas operations,1991,125,lukoil,"moscow, russia"
health care equipment & services,1949,31,medtronic,"dublin, ireland"
"it, internet, software & services",1972,33,sap,"walldorf, germany"
semiconductors,1949,37,sk hynix,"icheon, south korea"
oil & gas operations,2008,68,engie,"la defense, france"
aerospace & defense,1912,65,lockheed martin,"bethesda, maryland"
diversified financials,1988,20,blackrock,"new york, new york"
banking,1817,20,westpac banking group,"sydney, australia"
utilities,1904,25,duke energy,"charlotte, north carolina"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1984,106,dell technologies,"round rock, texas"
"construction, oil & gas operations, mining and chemicals",1899,59,vinci,"nanterre, france"
insurance,1879,50,tokio marine holdings,"tokyo, japan"
"telecommunications services, cable supplier",2000,48,america movil,"mexico city, mexico"
utilities,2000,91,eon,"essen, germany"
materials,1917,41,anglo american,"london, united kingdom"
banking,1943,28,banco bradesco,"osasco, brazil"
diversified financials,1991,21,ing group,"amsterdam, netherlands"
professional services,1955,56,accenture,"dulin, ireland"
conglomerates,1906,34,honeywell international,"charlotte, north carolina"
banking,2003,26,mizuho financial,"tokyo, japan"
chemicals,1879,30,linde,"guildford, united kingdom"
materials,2006,76,arcelormittal,"luxembourg, luxembourg"
banking,1867,18,canadian imperial bank,"toronto, canada"
construction,1992,42,poly developments & holdings group,"guangzhou, china"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1978,31,micron technology,"boise, idaho"
banking and financial services,1835,18,anz,"melbourne, australia"
insurance,2001,33,fubon financial,"taipei, taiwan"
telecommunications services,2002,68,china telecom,"beijing, china"
health care equipment & services,1968,59,hca healthcare,"nashville, tennessee"
"construction, oil & gas operations, mining and chemicals",1897,58,dow,"midland, michigan"
telecommunications services,1924,46,telefonica,"madrid, spain"
construction,1984,71,china vanke,"shenzhen, china"
banking,1981,15,nab - national australia bank,"melbourne, australia"
insurance,1975,34,cathay financial,"taipei, taiwan"
semiconductors,1985,36,qualcomm,"san diego, california"
packaged goods,1909,38,l'oreal,"clichy, france"
insurance,1931,50,allstate,"markham, ontario"
consumer durables,1955,121,saic motor,"shanghai, china"
banking,1994,21,icici bank,"vadodara, india"
banking,1992,42,china everbright bank,"beijing, china"
drugs & biotechnology,1987,27,gilead sciences,"foster city, california"
insurance,1991,68,china pacific insurance,"shanghai, china"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1993,26,nvidia,"santa clara, california"
drugs & biotechnology,1980,26,amgen,"thousand oaks, california"
transportation,1862,22,union pacific,"omaha, nebraska"
insurance,1902,66,dai-ichi life insurance,"tokyo, japan"
"clothing, shoes, sports equipment",1964,46,nike,"beaverton, oregon"
drugs & biotechnology,1781,31,takeda pharmaceutical,"tokyo, japan"
"food, drink & tobacco",1847,31,philip morris international,"new york, new york"
banking and financial services,1998,25,paypal,"san jose, california"
construction,1994,33,china resources land,"hong kong, hong kong"
banking,1912,22,oversea-chinese banking,"singapore, singapore"
"engineering, manufacturing",1968,50,midea group,"guandong, china"
insurance,1864,35,travelers,"new york, new york"
drugs & biotechnology,1876,28,eli lilly,"indianapolis, indiana"
"food, drink & tobacco",2012,28,mondelez international,"chicago, illinois"
"hotels, restaurants & leisure",1955,23,mcdonald's,"chicago, illinois"
"engineering, manufacturing",1892,74,general electric,"mississauga, ontario"
banking and financial services,1864,35,societe generale,"paris, france"
"engineering, manufacturing",1836,34,schneider electric,"rueil-malmaison, france"
packaged goods,1902,35,3m,"st. paul, minnesota"
insurance,1955,22,aflac,"columbus, ohio"
oil & gas operations,1956,66,oil & natural gas,"new delhi, india"
utilities,1945,23,southern company,"atlanta, georgia"
banking,1870,36,deutsche bank,"frankfurt, germany"
oil & gas operations,1978,70,ptt,"bangkok, thailand"
conglomerates,2014,36,ck hutchison,"hong kong, hong kong"
oil & gas operations,1973,24,canadian natural resources,"calgary, canada"
banking and financial services,1865,29,sun life financial,"toronto, canada"
aerospace & defense,1939,35,northrop grumman,"falls church, virginia"
"food, drink & tobacco",1902,85,archer daniels midland,"chicago, illinois"
oil & gas operations,2009,119,marathon petroleum,"findlay, ohio"
banking,1996,50,china minsheng bank,"beijing, china"
insurance,1836,62,legal & general group,"london, united kingdom"
media & advertising,1997,30,netflix,"los gatos, california"
insurance,1937,48,progressive,"mayfield village, ohio"
construction,1993,34,longfor group holdings,"beijing, china"
banking,1968,12,dbs,"singapore, singapore"
transportation,2005,51,cosco shipping,"tianjin, china"
construction,2006,108,china communications construction,"beijing, china"
banking,1968,17,natwest group,"edinburgh, united kingdom"
utilities,2000,39,exelon,"chicago, illinois"
drugs & biotechnology,1961,84,humana,"louisville, kentucky"
aerospace & defense,1952,38,general dynamics,"reston, virginia"
diversified financials,1925,57,power corp of canada,"montreal, canada"
banking,1964,14,qatar national bank,"doha, qatar"
drugs & biotechnology,1863,52,bayer,"leverkusen, germany"
diversified financials,1976,19,kkr,"new york, new york"
construction,1992,81,country garden holdings,"foshan, china"
utilities,1984,23,nextera energy,"juno beach, florida"
banking,1963,33,kb financial group,"seoul, south korea"
construction,1989,166,china railway group,"beijing, china"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1939,65,hp,"palo alto, california"
banking,1974,13,nordea bank,"helsinki, finland"
food markets,2005,78,seven & i holdings,"tokyo, japan"
oil & gas operations,1919,31,suncor energy,"calgary, canada"
"it, internet, software & services",1999,26,salesforcecom,"san francisco, california"
chemicals,1902,27,air liquide,"paris, france"
consumer durables,1949,49,denso,"kariya, japan"
banking,1965,16,bank of new york mellon,"new york, new york"
business services & supplies,1966,18,mastercard,"new york, new york"
banking,1808,29,banco do brasil,"brasilia, brazil"
drugs & biotechnology,1984,126,centene,"st. louis, missouri"
business services & supplies,1977,18,hdfc,"mumbai, india"
materials,1897,24,freeport-mcmoran,"phoenix, arizona"
drugs & biotechnology,1668,23,merck kgaa darmstadt germany and its affiliates,"darmstadt, germany"
banking,1980,14,caixabank,"valencia, spain"
conglomerates,1883,28,abb,"zurich, switzerland"
consumer durables,1927,43,volvo group,"goteborg, sweden"
oil & gas operations,1920,26,occidental petroleum,"houston, texas"
utilities,1990,20,national grid,"london, united kingdom"
drugs & biotechnology,1833,257,mckesson,"irving, texas"
diversified financials,2001,29,shinhan financial group,"seoul, south korea"
semiconductors,1984,20,asml holding,"veldhoven, netherlands"
chemicals,2017,27,nutrien,"saskatoon, canada"
diversified financials,1916,12,investor ab,"stockholm, sweden"
consumer durables,1944,61,kia,"seoul, south korea"
construction,1665,52,saint-gobain,"la defense, france"
drugs & biotechnology,1989,22,novo nordisk,"bagsvrd, denmark"
materials,1968,66,posco,"seoul, south korea"
"food, soft beverages, alcohol & tobacco",1997,19,diageo,"london, united kingdom"
food markets,2016,89,royal ahold delhaize nv,"zaandam, netherlands"
insurance,1949,90,picc,"beijing, china"
utilities,1983,14,dominion energy,"richmond, virginia"
food markets,1883,137,kroger,"cincinnati, ohio"
materials,2000,55,baoshan iron & steel,"shanghai, china"
"food, drink & tobacco",1999,14,kweichow moutai,"renhuai, china"
technology hardware & equipment,2010,50,xiaomi,"beijing, china"
banking,1997,13,bank of ningbo,"ningbo, china"
oil & gas operations,1948,23,ecopetrol,"bogota, colombia"
chemicals,2007,46,lyondellbasell industries,"london, united kingdom"
capital goods,2011,20,contemporary amperex technology,"ningde, china"
banking,1998,27,unicredit,"milan, italy"
drugs & biotechnology,1969,221,amerisourcebergen,"chesterbrook, pennsylvania"
health care equipment & services,2018,23,essilorluxottica,"paris, france"
retail and wholesale,1985,32,inditex,"arteixo, spain"
restaurants,1971,30,starbucks,"seattle, washington"
materials,1905,40,nucor,"charlotte, north carolina"
diversified financials,2000,10,intercontinentalexchange,"atlanta, georgia"
retailing,1976,48,tjx cos,"framingham, massachusetts"
banking,1935,14,kbc group,"brussels, belgium"
retail and wholesale,1919,84,tesco,"welwyn garden city, united kingdom"
technology hardware & equipment,1993,33,boe technology group,"beijing, china"
diversified financials,1985,15,blackstone,"new york, new york"
utilities,1906,16,american electric,"columbus, ohio"
diversified financials,1985,11,macquarie group,"sydney, australia"
trading companies,1858,72,marubeni,"tokyo, japan"
insurance,1863,46,swiss re,"zurich, switzerland"
oil & gas operations,1985,19,eog resources,"houston, texas"
insurance,1959,51,cnp assurances,"paris, france"
business services & supplies,1949,15,automatic data processing,"roseland, new jersey"
oil & gas operations,2012,111,phillips 66,"houston, texas"
"food, drink & tobacco",1935,49,tyson foods,"springdale, arkansas"
oil & gas operations,1987,58,repsol,"madrid, spain"
