link,name,country,industry,revenue,employees,founded
https://missamara.com.au/,miss amara,australia,retail,7,36,2014
https://www.wadiz.kr/,wadiz,south korea,fintech,12,204,2012
https://www.codapayments.com/,coda payments,singapore,fintech,80,104,2011
https://www.zego.com/,zego,uk,fintech,"12,158,046",224,2016
https://www.swapfiets.com,swapfiets,netherlands,travel & leisure,"22,700,000",550,2014
https://www.housekeep.com,housekeep,united kingdom,technology,7,25,2013
https://mikienergy.com/,mikienergy,japan,energy,8,5,2015
https://www.closip.co.jp/,closip,japan,cyber security,1,12,2016
https://www.codapayments.com/,coda payments,singapore,fintech,144,232,2011
https://www.hyperanna.com/,hyper anna,australia,technology,1,40,2016
https://www.solbari.com/,sun protection apparel,australia,ecommerce,1,12,2014
https://thermomix.com.sg/,the future of cooking,singapore,retail,8,10,2016
https://www.hcl-logistics.de/,hcl-logistics,germany,transport,"11,387,156",24,2017
https://www.jobandtalent.com,jobandtalent,spain,technology,"271,481,287",783,2009
https://www.landbay.co.uk,landbay partners,uk,financial services,"9,155,241",98,2014
https://www.crepprotect.com,crep protect,united kingdom,fashion,28,29,2014
https://loship.vn/,loship,vietnam,food & beverage,14,200,2017
https://www.firstcircle.ph/,first circle,philippines,financial services,5,108,2016
https://www.cloudwave.com.au/,cloudwave,australia,technology,3,18,2013
https://www.dementiacaring.com.au/,dementia caring,australia,health,20,219,2015
http://www.tebe.co.id/,dana brata luhur,indonesia,transport,26,193,2008
https://fabelio.com/,fabelio,indonesia,retail,13,344,2015
https://popsa.com/,popsa,uk,technology,"21,455,864",34,2016
https://www.chillysbottles.com,chilly's bottles,uk,retail,"35,348,422",371,2010
https://itravex.es,viajes libratur itravex,spain,travel & leisure,43,62,2007
https://www.mepl-mmw.com/,mohan electro casting,india,industrial goods,3,35,2002
https://www.goodtogreat.co.kr/,gtog international,south korea,sales & marketing,35,25,2016
https://wavelifesciences.com/,wave life sciences,singapore,health,15,301,2012
https://www.skilllane.com/,skilllane,thailand,education,3,44,2014
https://unit8.com/,unit8,switzerland,technology,"7,234,981",41,2017
https://safe4u.de,safe4u,germany,technology,"6,700,000",9,2013
https://www.darktrace.com,darktrace,united kingdom,cyber security,36,618,2013
https://www.oaknorth.com/,oaknorth bank,united kingdom,fintech,67,200,2015
https://www.nkc-asia.com/,nkc asia,japan,technology,37,90,2015
https://themathcompany.com/,themathcompany,india,management consulting,13,494,2016
https://www.selfwealth.com.au/,selfwealth,australia,fintech,12,34,2012
https://www.befitfood.com.au/,be fit food,australia,health,5,25,2015
https://www.comma-entertainment.com/,comma entertainment,south korea,advertising,1,10,2015
https://www.tangerinetelecom.com.au/,tangerine telecom,australia,telecoms,13,90,2014
https://www.luotocompany.com/,luoto company,finland,technology,"14,338,668",49,2016
https://www.journiapp.com/,journi print,austria,ecommerce,"6,851,839",29,2014
https://www.bunq.com,bunq,netherlands,fintech,"8,808,633",96,2014
https://www.nbwm.nl,nbwm,netherlands,fintech,6,30,2013
https://wolt.com/,wolt enterprises,finland,technology,30,293,2014
https://bolt.eu/,bolt technology,estonia,technology,79,700,2013
https://whatfix.com/,whatfix,india,technology,13,471,2013
https://sprintlaw.com.au/,sprintlaw,australia,law,1,25,2017
file:///users/chris.campbell/downloads/na,metal heart,south korea,retail,14,3,2017
https://saaslabs.co/,saas labs,india,technology,1,52,2016
https://www.topreform.jp/,top reform,japan,construction,6,13,2015
https://shopline.hk/,shopline,hong kong,ecommerce,21,301,2013
https://www.portify.fr/,portify,france,support services,"11,583,215",228,2017
https://tibber.com/,tibber,norway,energy,"30,886,935",45,2015
https://bolt.eu,bolt technology,estonia,technology,"148,227,430",1438,2013
https://de.scalable.capital,scalable capital,germany,fintech,"7,065,436",115,2014
https://www.bis-renovation-energie.com,bis renovation energie,france,construction,13,80,2013
https://elementsgs.com/,elements global services,spain,support services,26,38,2015
https://www.les-eco-isolateurs.com/,les eco-isolateurs,france,construction,32,67,2013
https://www.driveyello.com/,drive yello,australia,transport,7,60,2015
https://www.dmil.kr/,different millions inc,south korea,beauty,4,38,2017
https://www.stayg.jp/,stay gold,japan,property,9,3,2010
https://www.upgrad.com/,upgrad,india,education,23,1100,2015
https://www.capitalindia.com/,capital india finance,india,financial services,14,,1994
https://www.i-goods.co.jp/,igoods,japan,sales & marketing,6,20,2016
https://www.rascalindustry.pl/en/,rascal industry,poland,fashion,"9,008,822",18,2013
https://www.pegasosecurity.it/,pegaso security,italy,support services,"8,375,180",509,2017
https://kubrickgroup.com,kubrick group,uk,management consulting,"21,304,174",335,2016
https://gojob.com,gojob,france,management consulting,"23,062,711",105,2015
https://www.donatella.de,donatella,germany,food & beverage,7,10,2014
https://gismart.com/,gismart,united kingdom,games industry,57,150,2013
https://picocela.com/,picocela,japan,technology,2,25,2008
https://parcelport.co.nz/,parcelport,new zealand,ecommerce,3,10,2012
https://dwarves.foundation/,dwarves foundation,vietnam,technology,1,45,2015
http://dable.io/en/,dable,south korea,media,15,72,2015
https://www.jayride.com/,jayride group,australia,travel & leisure,2,112,2012
https://nj-enex.co.jp/,nj-enex,japan,retail,10,30,2015
https://www.tide.co/,tide,uk,fintech,"16,136,633",581,2016
https://www.eurotopbrand.com,euro top brand,italy,retail,"13,888,900",1,2017
https://www.happybrush.de,happybrush,germany,health,"5,903,800",12,2016
https://www.huma.com,huma therapeutics,uk,health,"6,177,442",101,2011
https://www.kupela.fr,kupela,france,food & beverage,7,5,2011
https://www.enens.fr/,enens,france,energy,100,2,2015
https://fundingsocieties.com/,funding societies,singapore,fintech,16,353,2015
https://www.foreseepharma.com/,foresee pharmaceuticals,taiwan,pharmaceuticals,7,,2013
https://missamara.com/,miss amara,hong kong,ecommerce,11,54,2014
https://playground.xyz/,playground xyz,australia,technology,18,33,2015
https://www.nium.com/,nium,singapore,fintech,7,334,2014
https://www.bold.co.uk/,bold security group,uk,support services,"6,238,378",26,2011
https://www.playmagnusgroup.com/,play magnus group,norway,games industry,"6,461,790",140,2013
https://www.mews.com,mews systems,netherlands,technology,"22,386,000",400,2012
https://www.junglecreations.com,jungle creations,united kingdom,media,11,110,2014
https://qred.com/en-se/,qred foretagslan,sweden,fintech,13,26,2015
https://www.smartworksoffice.com/,smartworks coworking spaces,india,property,42,309,2016
https://incomlend.com/,incomlend,singapore,fintech,2,37,2016
https://gatestokyo.co.jp/,gates,japan,property,88,90,2012
https://www.curio.co/,curio group,australia,education,4,75,2016
http://apollotricoat.com/,apollo tricoat tubes,india,industrial goods,94,206,1983
https://www.sqreemtech.com/,sqreem technologies,singapore,technology,5,101,2010
https://bluewhale.co.uk/,blue whale growth fund,uk,financial services,"5,189,391",7,2016
https://www.kazidomi.com/en/,kazidomi,belgium,ecommerce,"8,042,499",65,2016
https://www.bonmea.com,bonmea,germany,retail,"7,700,000",4,2015
https://www.fiducim.fr,fiducim,france,property,8,8,2013
https://it.mukako.com/,mamma 20,italy,ecommerce,7,19,2014
https://intouchnetworks.com/,in touch networks,united kingdom,technology,8,114,2013
